Source,Title,Content,Section,URL,Date,Normalized Content,Normalized Title
La Jornada: Deportes,Montes debuta con gol  en victoria del Lokomotiv,"El mexicano César Montes brilló con un gol en su debut inter-nacional con el club ruso Lokomotiv, mientras su compatriota Santiago Giménez sufrió con el Feyenoord en la Champions, donde el Barcelona se llevó una derrota sorpresiva ante el Mónaco.",Deportes,https://www.jornada.com.mx/2024/09/20/deportes/a11n2dep?partner=rss,20/09/2024,"mexicano César Montes brillar gol debut inter-nacional club ruso Lokomotiv , compatriota Santiago Giménez sufrir Feyenoord Champions , Barcelona llevar derrota sorpresivo Mónaco .",Montes debutar gol   victoria Lokomotiv
La Jornada: Deportes,América femenil apabulla 5-0,"América femenil goleó 5-0 al Santa Fe, de Panamá, en la Concachampions W. Sarah Luebbert (imagen) anotó el segundo tanto para su equipo.",Deportes,https://www.jornada.com.mx/2024/09/20/deportes/a31n1dep?partner=rss,20/09/2024,"América femenil golear 5-0 Santa Fe , Panamá , Concachampions W. Sarah Luebbert ( imagen ) anotar equipo .",América femenil apabulla 5-0
La Jornada: Deportes,Vela y Ochoa tienen “las puertas abiertas” para regresar al Tri: Aguirre,"Los experimentados Carlos Vela y Guillermo Ochoa tienen “las puertas abiertas” para regresar a la selección nacional, aseguró el técnico tricolor, Javier Vasco Aguirre, lue-go de que ambos jugadores volvieron recientemente a la actividad tras estar varios meses alejados de las canchas.",Deportes,https://www.jornada.com.mx/2024/09/20/deportes/a11n1dep?partner=rss,20/09/2024,"experimentado Carlos Vela Guillermo Ochoa “ puerta abierto ” regresar selección nacional , técnico tricolor , Javier Vasco Aguirre , lue-go jugador volver recientemente actividad mes alejado cancha .",Vela “ puerta abierto ” regresar Tri : Aguirre
La Jornada: Deportes,Homeless Cup: el futbol como herramienta de cambio social,"La vida en Ciudad Juárez se suele asociar con la violencia y el crimen organizado, aunque no es el único sendero. A veces el reto de dominar un balón puede cambiar todo, tal como le sucedió a Christian Méndez, quien vivió el “levantón” de su padre por la “pelea de las plazas” del narcotráfico en esa localidad y acompañó a su madre en la lucha contra el cáncer, para después convertirse en campeón con México en la Homeless World Cup 2016 y ahora es parte del cuerpo técnico de la selección en Seúl 2024.",Deportes,https://www.jornada.com.mx/2024/09/20/deportes/a12n1dep?partner=rss,20/09/2024,"vida Ciudad Juárez soler asociar violencia crimen organizado , único sendero . reto dominar balón cambiar , suceder Christian Méndez , vivir “ levantón ” padre “ pelea plaza ” narcotráfico localidad acompañar madre lucha cáncer , convertir él campeón México Homeless World Cup 2016 cuerpo técnico selección Seúl 2024 .",Homeless Cup : futbol herramienta cambio social
La Jornada: Deportes,Rayadas empatan y peligra su calificación a la Concachampions W,"Las Rayadas de Monterrey no pudieron pasar del empate sin goles ante el NJ/NY Gotham, campeón de la liga estadunidense NWSL, en la tercera jornada de la Concacaf W Champions. Las regiomontanas llegaron a cuatro unidades para ubicarse en el tercer puesto del Grupo A, y aunque toda-vía tienen posibilidades de avan-zar a la siguiente ronda, deben ganar el próximo partido y esperar una combinación de resultados.",Deportes,https://www.jornada.com.mx/2024/09/20/deportes/a12n2dep?partner=rss,20/09/2024,"Rayadas Monterrey poder pasar empate gol NJ / NY Gotham , campeón liga estadunidense NWSL , jornada Concacaf W Champions . regiomontana llegar unidad ubicar él tercer puesto Grupo , toda-vir posibilidad avan-zar ronda , ganar partido esperar combinación resultado .",Rayadas empatar peligrar calificación Concachampions W
La Jornada: Deportes,"Ohtani, primero en lograr 50 jonrones  y 50 robos en una misma temporada","Miami. Shohei Ohtani se consagró ayer como el primer jugador en la historia de las Grandes Ligas en conseguir 50 jonrones y 50 robos de base en una misma campaña, al brindar la actuación más espectacular de su carrera, con tres vuelacercas y un par de hurtos en el juego en que su equipo, los Dodgers de Los Ángeles, arrolló 20-4 a los Marlins de Miami.",Deportes,https://www.jornada.com.mx/2024/09/20/deportes/a10n1dep?partner=rss,20/09/2024,"Miami . Shohei Ohtani consagrar ayer jugador historia Ligas 50 jonrón 50 robo base campaña , brindar actuación espectacular carrera , vuelacerca par hurto juego equipo , Dodgers Ángeles , arrollar 20-4 Marlins Miami .","Ohtani , lograr 50 jonrón   50 robo temporada"
La Jornada: Deportes,Rodgers guía a los Jets a su segundo triunfo consecutivo,Aaron Rodgers busca competir al máximo nivel en una NFL conformada en su mayoría por mariscales jóvenes. El veterano pasador de los Jets de Nueva York comandó la ofensiva de su equipo para imponerse 24-3 a los Patriotas de Nueva Inglaterra y así conseguir su segunda victoria consecutiva de la temporada (2-1).,Deportes,https://www.jornada.com.mx/2024/09/20/deportes/a10n2dep?partner=rss,20/09/2024,aar Rodgers buscar competir máximo nivel NFL conformado mayoría mariscal joven . veterano pasador Jets York comandar ofensiva equipo imponer él 24-3 Patriotas Inglaterra victoria consecutivo temporada ( 2-1 ) .,Rodgers guir Jets triunfo consecutivo
La Jornada: Economía,Piden poner orden en aduanas antes de pretender aplicar cobros directos,"Antes de cobrar impuestos directamente en las aduanas a fin de elevar la recaudación tributaria, el próximo gobierno debe ordenar este sector e identificar todas las mercancías que están llegando al país sin pagar impuestos, advirtió Gabriel Llamas Monjardín, asesor de negocios.",Economía,https://www.jornada.com.mx/2024/09/20/economia/019n2eco?partner=rss,20/09/2024,"cobrar impuesto directamente aduana elevar recaudación tributario , gobierno ordenar sector identificar mercancía llegar país pagar impuesto , advertir Gabriel Llamas Monjardín , asesor negocio .",pedir orden aduana pretender aplicar cobro directo
La Jornada: Economía,Enrique Galván Ochoa: Dinero,"¿Cuál será el mayor desafío que enfrentará la próxima presidenta, Claudia Sheinbaum, a partir del primer día de octubre? Es el tema del sondeo de esta semana. Resultados en la gráfica.",Economía,https://www.jornada.com.mx/2024/09/20/opinion/006o1eco?partner=rss,20/09/2024,"¿ desafío enfrentar próximo presidenta , Claudia Sheinbaum , octubre ? tema sondeo semana . resultado gráfico .",Enrique Galván Ochoa : Dinero
La Jornada: Economía,La inflación de Japón se aceleró en agosto; marca 2.8% anual,"Tokio. La inflación en Japón –la tercera mayor economía del mundo– se aceleró ligeramente en agosto a 2.8 por ciento anual, una décima más que en el mes anterior, mostraron los datos publicados este viernes por el Ministerio de Interior.",Economía,https://www.jornada.com.mx/2024/09/20/economia/020n1eco?partner=rss,20/09/2024,"Tokio . inflación Japón – economía mundo – acelerar ligeramente agosto 2.8 ciento anual , décima mes , mostrar dato publicado viernes Ministerio Interior .",inflación Japón acelerar agosto ; marca 2.8% anual
