Term 1,Term 2,Frequency of Bigram,Frequency of Context (Term 1),Conditional Probability
<,si,114,1654,0.06892382103990327
?,>,112,115,0.9739130434782609
si,>,92,162,0.5679012345679012
<,no,87,1654,0.05259975816203144
<,ya,66,1654,0.03990326481257558
<,pero,57,1654,0.034461910519951636
<,jajajaj,46,1654,0.02781136638452237
jajajaj,>,44,51,0.8627450980392157
no,>,43,152,0.28289473684210525
<,es,39,1654,0.02357920193470375
<,y,38,1654,0.022974607013301087
siii,>,33,36,0.9166666666666666
<,me,31,1654,0.018742442563482467
<,siii,31,1654,0.018742442563482467
<,a,30,1654,0.018137847642079808
<,q,29,1654,0.017533252720677146
<,de,24,1654,0.014510278113663845
jajaja,>,20,23,0.8695652173913043
<,xd,19,1654,0.011487303506650543
<,gracias,19,1654,0.011487303506650543
<,que,19,1654,0.011487303506650543
pero,no,18,71,0.2535211267605634
<,yo,18,1654,0.010882708585247884
xd,>,18,19,0.9473684210526315
sii,>,17,18,0.9444444444444444
<,pq,17,1654,0.010278113663845224
<,jajaja,16,1654,0.009673518742442563
jajaj,>,16,16,1.0
<,sii,15,1654,0.009068923821039904
<,o,14,1654,0.008464328899637243
<,jajajaja,14,1654,0.008464328899637243
gracias,>,14,21,0.6666666666666666
jajajaja,>,13,14,0.9285714285714286
eso,>,13,25,0.52
tt,>,13,13,1.0
no,se,13,152,0.08552631578947369
<,x2,13,1654,0.007859733978234583
<,el,13,1654,0.007859733978234583
x2,>,13,13,1.0
animo,>,13,14,0.9285714285714286
<,animo,13,1654,0.007859733978234583
de,q,13,108,0.12037037037037036
es,>,12,67,0.1791044776119403
<,sip,12,1654,0.007255139056831923
sip,>,12,12,1.0
ya,>,12,96,0.125
en,la,12,54,0.2222222222222222
<,grasias,12,1654,0.007255139056831923
<,te,11,1654,0.006650544135429262
<,la,11,1654,0.006650544135429262
a,>,11,81,0.13580246913580246
es,q,11,67,0.16417910447761194
q,>,11,164,0.06707317073170732
bueno,>,10,14,0.7142857142857143
<,ola,10,1654,0.006045949214026602
creo,q,10,15,0.6666666666666666
<,esta,10,1654,0.006045949214026602
ola,>,10,11,0.9090909090909091
<,se,10,1654,0.006045949214026602
mañana,>,9,18,0.5
grasias,>,9,13,0.6923076923076923
va,>,9,18,0.5
<,eso,9,1654,0.005441354292623942
<,siiii,9,1654,0.005441354292623942
<,asi,9,1654,0.005441354292623942
<,va,9,1654,0.005441354292623942
<,aaaa,8,1654,0.0048367593712212815
<,claro,8,1654,0.0048367593712212815
no,me,8,152,0.05263157894736842
<,poke,8,1654,0.0048367593712212815
nada,>,8,13,0.6153846153846154
chika,>,8,10,0.8
bn,>,7,25,0.28
bien,>,7,18,0.3888888888888889
