Term 1,Term 2,Frequency of Bigram,Frequency of Context (Term 1),Conditional Probability
?,>,92,92,1.0
<,a,69,501,0.1377245508982036
<,sip,37,501,0.07385229540918163
<,oye,36,501,0.0718562874251497
xd,>,35,42,0.8333333333333334
es,que,29,71,0.4084507042253521
lo,que,29,115,0.25217391304347825
<,si,28,501,0.05588822355289421
:3,>,26,34,0.7647058823529411
lo,de,24,115,0.20869565217391303
de,nada,22,153,0.1437908496732026
creo,que,21,24,0.875
jajaja,>,20,76,0.2631578947368421
de,la,20,153,0.13071895424836602
<,jajaja,20,501,0.03992015968063872
jaja,>,19,62,0.3064516129032258
oye,",",19,66,0.2878787878787879
",",pero,19,187,0.10160427807486631
si,quieres,16,148,0.10810810810810811
sip,",",15,65,0.23076923076923078
<,no,15,501,0.029940119760479042
de,los,15,153,0.09803921568627451
que,si,15,200,0.075
si,",",15,148,0.10135135135135136
sip,>,14,65,0.2153846153846154
<,gracias,14,501,0.027944111776447105
que,no,14,200,0.07
gracias,>,14,29,0.4827586206896552
",",si,14,187,0.0748663101604278
nada,>,14,31,0.45161290322580644
jajaj,>,13,26,0.5
<,y,12,501,0.023952095808383235
voy,>,12,23,0.5217391304347826
oye,oye,12,66,0.18181818181818182
<,pero,11,501,0.021956087824351298
<,es,11,501,0.021956087824351298
y,ya,11,86,0.12790697674418605
no,se,11,102,0.10784313725490197
que,ya,11,200,0.055
está,bien,11,19,0.5789473684210527
<,hola,11,501,0.021956087824351298
a,bueno,10,147,0.06802721088435375
sip,de,10,65,0.15384615384615385
<,holaa,10,501,0.01996007984031936
a,jajaja,10,147,0.06802721088435375
de,lo,10,153,0.06535947712418301
a,ver,10,147,0.06802721088435375
de,las,10,153,0.06535947712418301
no,sé,9,102,0.08823529411764706
a,vava,9,147,0.061224489795918366
me,pasas,9,33,0.2727272727272727
voy,a,9,23,0.391304347826087
<,o,9,501,0.017964071856287425
gracias,:3,9,29,0.3103448275862069
<,ya,9,501,0.017964071856287425
<,de,9,501,0.017964071856287425
",",es,8,187,0.0427807486631016
<,jajajaja,8,501,0.015968063872255488
pues,si,8,35,0.22857142857142856
si,lo,8,148,0.05405405405405406
en,el,8,52,0.15384615384615385
",",sip,8,187,0.0427807486631016
en,la,7,52,0.1346153846153846
a,sip,7,147,0.047619047619047616
que,te,7,200,0.035
yo,creo,7,25,0.28
bien,>,7,25,0.28
que,lo,7,200,0.035
va,>,7,21,0.3333333333333333
",",porque,7,187,0.0374331550802139
si,se,7,148,0.0472972972972973
pero,no,7,58,0.1206896551724138
nada,:3,7,31,0.22580645161290322
",",no,7,187,0.0374331550802139
a,no,7,147,0.047619047619047616
lo,del,7,115,0.06086956521739131
por,si,7,26,0.2692307692307692
<,jajaj,6,501,0.011976047904191617
",",gracias,6,187,0.03208556149732621
que,es,6,200,0.03
no,es,6,102,0.058823529411764705
si,jaja,6,148,0.04054054054054054
no,jaja,6,102,0.058823529411764705
oye,me,6,66,0.09090909090909091
a,ir,6,147,0.04081632653061224
con,lo,6,32,0.1875
<,que,6,501,0.011976047904191617
si,es,6,148,0.04054054054054054
ya,quedó,6,87,0.06896551724137931
",",oye,6,187,0.03208556149732621
para,que,6,29,0.20689655172413793
oye,irving,6,66,0.09090909090909091
a,si,5,147,0.034013605442176874
",",pues,5,187,0.026737967914438502
jajajaj,>,5,15,0.3333333333333333
<,jajajaj,5,501,0.00998003992015968
",",de,5,187,0.026737967914438502
sip,jaja,5,65,0.07692307692307693
se,si,5,42,0.11904761904761904
se,lo,5,42,0.11904761904761904
<,porque,5,501,0.00998003992015968
bueno,xd,5,31,0.16129032258064516
y,pues,5,86,0.05813953488372093
<,jaja,5,501,0.00998003992015968
bien,",",5,25,0.2
holaa,",",5,10,0.5
vas,a,5,9,0.5555555555555556
entonces,si,5,24,0.20833333333333334
de,datos,5,153,0.032679738562091505
eso,>,5,26,0.19230769230769232
ver,si,5,14,0.35714285714285715
vava,",",5,17,0.29411764705882354
va,a,5,21,0.23809523809523808
vamos,a,5,6,0.8333333333333334
algo,de,5,15,0.3333333333333333
es,el,5,71,0.07042253521126761
si,no,5,148,0.033783783783783786
la,de,5,88,0.056818181818181816
es,lo,5,71,0.07042253521126761
lo,quieres,5,115,0.043478260869565216
si,nos,5,148,0.033783783783783786
<,creo,5,501,0.00998003992015968
que,le,5,200,0.025
:3,oye,5,34,0.14705882352941177
hola,:3,4,11,0.36363636363636365
o,no,4,22,0.18181818181818182
ya,te,4,87,0.04597701149425287
jaja,",",4,62,0.06451612903225806
pues,ya,4,35,0.11428571428571428
<,pues,4,501,0.007984031936127744
que,ahorita,4,200,0.02
sé,si,4,9,0.4444444444444444
<,entonces,4,501,0.007984031936127744
no,lo,4,102,0.0392156862745098
",",entonces,4,187,0.0213903743315508
",",y,4,187,0.0213903743315508
el,que,4,75,0.05333333333333334
bueno,>,4,31,0.12903225806451613
le,puse,4,27,0.14814814814814814
",",bueno,4,187,0.0213903743315508
para,el,4,29,0.13793103448275862
<,para,4,501,0.007984031936127744
no,ma,4,102,0.0392156862745098
me,voy,4,33,0.12121212121212122
no,?,4,102,0.0392156862745098
en,los,4,52,0.07692307692307693
pasas,el,4,9,0.4444444444444444
ya,me,4,87,0.04597701149425287
oye,ya,4,66,0.06060606060606061
según,yo,4,11,0.36363636363636365
bueno,",",4,31,0.12903225806451613
pensé,que,4,6,0.6666666666666666
jajaja,",",4,76,0.05263157894736842
<,chi,4,501,0.007984031936127744
",",te,4,187,0.0213903743315508
 ,>,4,5,0.8
☺,️,4,4,1.0
el,tema,4,75,0.05333333333333334
<,vava,4,501,0.007984031936127744
el,de,4,75,0.05333333333333334
que,nos,4,200,0.02
con,el,4,32,0.125
si,me,4,148,0.02702702702702703
<,va,4,501,0.007984031936127744
",",por,4,187,0.0213903743315508
si,le,4,148,0.02702702702702703
️,>,4,4,1.0
jajaja,pero,4,76,0.05263157894736842
verdad,?,4,5,0.8
ya,no,4,87,0.04597701149425287
jajaja,sip,4,76,0.05263157894736842
ahorita,te,4,19,0.21052631578947367
la,foto,4,88,0.045454545454545456
irving,",",4,8,0.5
los,autores,4,45,0.08888888888888889
que,se,4,200,0.02
jajaja,no,3,76,0.039473684210526314
<,vavava,3,501,0.005988023952095809
mi,casa,3,9,0.3333333333333333
tenemos,que,3,6,0.5
y,lo,3,86,0.03488372093023256
si,pues,3,148,0.02027027027027027
<,cómo,3,501,0.005988023952095809
ya,con,3,87,0.034482758620689655
no,pues,3,102,0.029411764705882353
crees,que,3,3,1.0
cómputo,?,3,3,1.0
jajaja,bueno,3,76,0.039473684210526314
nada,xd,3,31,0.0967741935483871
pero,pues,3,58,0.05172413793103448
hasta,el,3,9,0.3333333333333333
<,voy,3,501,0.005988023952095809
dijo,que,3,8,0.375
eso,y,3,26,0.11538461538461539
o,si,3,22,0.13636363636363635
",",>,3,187,0.016042780748663103
bueno,jaja,3,31,0.0967741935483871
lo,mismo,3,115,0.02608695652173913
",",ahorita,3,187,0.016042780748663103
ya,>,3,87,0.034482758620689655
en,mi,3,52,0.057692307692307696
era,el,3,6,0.5
",",lo,3,187,0.016042780748663103
es,en,3,71,0.04225352112676056
",",me,3,187,0.016042780748663103
ya,es,3,87,0.034482758620689655
con,eso,3,32,0.09375
a,ernesto,3,147,0.02040816326530612
siento,que,3,3,1.0
comunicación,en,3,3,1.0
algo,>,3,15,0.2
xd,?,3,42,0.07142857142857142
jajaja,va,3,76,0.039473684210526314
a,quedar,3,147,0.02040816326530612
quieres,>,3,24,0.125
jajajaja,>,3,15,0.2
antes,de,3,3,1.0
lo,más,3,115,0.02608695652173913
esme,y,3,5,0.6
yo,>,3,25,0.12
eso,jaja,3,26,0.11538461538461539
si,te,3,148,0.02027027027027027
iba,a,3,3,1.0
sip,está,3,65,0.046153846153846156
los,veo,3,45,0.06666666666666667
<,hay,3,501,0.005988023952095809
<,mmmm,3,501,0.005988023952095809
te,la,3,39,0.07692307692307693
te,vas,3,39,0.07692307692307693
la,maestra,3,88,0.03409090909090909
poner,los,3,8,0.375
a,decir,3,147,0.02040816326530612
<,la,3,501,0.005988023952095809
pasas,la,3,9,0.3333333333333333
pues,>,3,35,0.08571428571428572
que,sí,3,200,0.015
que,dice,3,200,0.015
si,vas,3,148,0.02027027027027027
porque,lo,3,28,0.10714285714285714
que,me,3,200,0.015
y,si,3,86,0.03488372093023256
el,modelo,3,75,0.04
vava,:3,3,17,0.17647058823529413
que,está,3,200,0.015
",",ya,3,187,0.016042780748663103
no,>,3,102,0.029411764705882353
si,jajaja,3,148,0.02027027027027027
si,la,3,148,0.02027027027027027
la,conclusión,3,88,0.03409090909090909
jajaja,si,3,76,0.039473684210526314
esta,bien,3,5,0.6
ya,lo,3,87,0.034482758620689655
yo,",",3,25,0.12
en,qué,3,52,0.057692307692307696
solo,lo,3,22,0.13636363636363635
te,digo,3,39,0.07692307692307693
y,la,3,86,0.03488372093023256
hola,jaja,3,11,0.2727272727272727
jaja,bueno,3,62,0.04838709677419355
ya,jaja,3,87,0.034482758620689655
ya,ya,3,87,0.034482758620689655
a,ya,3,147,0.02040816326530612
y,el,3,86,0.03488372093023256
ya,",",3,87,0.034482758620689655
no,me,3,102,0.029411764705882353
hola,",",3,11,0.2727272727272727
pues,es,3,35,0.08571428571428572
y,también,3,86,0.03488372093023256
jaja,sip,3,62,0.04838709677419355
ser,lo,3,4,0.75
<,holaaa,3,501,0.005988023952095809
<,",",3,501,0.005988023952095809
y,eso,3,86,0.03488372093023256
como,que,3,21,0.14285714285714285
<,vavav,3,501,0.005988023952095809
<,en,3,501,0.005988023952095809
vavav,>,3,5,0.6
por,lo,3,26,0.11538461538461539
de,que,3,153,0.0196078431372549
pero,si,3,58,0.05172413793103448
",",le,3,187,0.016042780748663103
rayos,",",3,5,0.6
hay,que,3,8,0.375
que,hacer,3,200,0.015
no,",",3,102,0.029411764705882353
bien,xd,3,25,0.12
pero,de,3,58,0.05172413793103448
jaja,es,3,62,0.04838709677419355
por,cierto,3,26,0.11538461538461539
a,>,2,147,0.013605442176870748
mira,>,2,5,0.4
el,del,2,75,0.02666666666666667
",",igual,2,187,0.0106951871657754
10,>,2,3,0.6666666666666666
quedó,>,2,7,0.2857142857142857
porque,según,2,28,0.07142857142857142
o,jajajaja,2,22,0.09090909090909091
jajaja,ya,2,76,0.02631578947368421
la,introducción,2,88,0.022727272727272728
se,fue,2,42,0.047619047619047616
ya,salí,2,87,0.022988505747126436
a,jaja,2,147,0.013605442176870748
no,creo,2,102,0.0196078431372549
nada,jaja,2,31,0.06451612903225806
a,hacer,2,147,0.013605442176870748
la,información,2,88,0.022727272727272728
de,web,2,153,0.013071895424836602
que,era,2,200,0.01
jaja,si,2,62,0.03225806451612903
si,podía,2,148,0.013513513513513514
<,según,2,501,0.003992015968063872
ernesto,que,2,10,0.2
sip,voy,2,65,0.03076923076923077
jaja,voy,2,62,0.03225806451612903
que,solo,2,200,0.01
ya,así,2,87,0.022988505747126436
que,yo,2,200,0.01
jaja,solo,2,62,0.03225806451612903
hacer,lo,2,11,0.18181818181818182
mmmm,pues,2,3,0.6666666666666666
