Term 1,Term 2,Term 3,Frequency,Context Frequency,Conditional Probability
>,<,y,991,12341,0.08030143424357832
xd,>,<,786,786,1.0
?,>,<,721,721,1.0
>,<,ya,583,12341,0.04724090430273074
>,<,si,547,12341,0.04432379871971477
>,<,no,416,12341,0.03370877562596224
>,<,pero,345,12341,0.027955595170569645
",",>,<,287,287,1.0
>,<,a,264,12341,0.02139210760878373
>,<,me,248,12341,0.020095616238554413
>,<,que,226,12341,0.0183129406044891
>,<,es,225,12341,0.01823190989384977
>,<,pq,208,12341,0.01685438781298112
bro,>,<,191,191,1.0
>,<,simon,184,12341,0.014909650757637144
>,<,el,182,12341,0.01474758933635848
>,<,ok,174,12341,0.014099343651243821
>,<,yo,164,12341,0.013289036544850499
si,>,<,156,156,1.0
ok,>,<,123,123,1.0
>,<,bueno,115,12341,0.009318531723523215
>,<,en,112,12341,0.009075439591605219
>,<,o,111,12341,0.008994408880965886
>,<,lo,107,12341,0.008670286038408557
>,<,vavava,106,12341,0.008589255327769224
simon,>,<,105,105,1.0
<,es,que,104,225,0.4622222222222222
>,<,se,104,12341,0.00842719390649056
>,<,como,103,12341,0.008346163195851228
gracias,>,<,99,99,1.0
>,<,ahorita,97,12341,0.007859978932015234
>,<,ontas,97,12341,0.007859978932015234
<,simon,>,94,184,0.5108695652173914
>,<,de,93,12341,0.007535856089457904
<,ontas,>,91,97,0.9381443298969072
ontas,>,<,91,91,1.0
no,>,<,91,91,1.0
<,si,>,90,547,0.16453382084095064
we,>,<,89,89,1.0
>,<,xd,89,12341,0.007211733246900575
>,<,va,89,12341,0.007211733246900575
<,xd,>,88,89,0.9887640449438202
>,<,gracias,88,12341,0.007130702536261243
vavava,>,<,85,85,1.0
>,<,la,85,12341,0.006887610404343246
<,no,se,85,416,0.20432692307692307
<,vavava,>,83,106,0.7830188679245284
>,<,por,83,12341,0.006725548983064582
ok,ok,>,80,90,0.8888888888888888
>,<,te,79,12341,0.0064014261405072525
ntp,>,<,79,79,1.0
bien,>,<,76,76,1.0
<,ok,ok,76,174,0.4367816091954023
va,>,<,75,75,1.0
>,<,hoy,75,12341,0.006077303297949923
men,>,<,74,74,1.0
>,<,oye,74,12341,0.00599627258731059
>,<,pues,72,12341,0.005834211166031926
>,<,voy,72,12341,0.005834211166031926
>,<,ahora,71,12341,0.0057531804553925935
>,<,porque,69,12341,0.005591119034113929
>,<,para,68,12341,0.005510088323474597
<,y,ya,67,991,0.06760847628657922
>,<,mira,67,12341,0.0054290576128352645
ya,>,<,67,67,1.0
<,ya,me,65,583,0.11149228130360206
jajajaja,>,<,63,63,1.0
<,si,no,60,547,0.10968921389396709
>,<,le,60,12341,0.004861842638359939
no,te,preocupes,59,89,0.6629213483146067
<,y,si,58,991,0.05852674066599395
se,>,<,58,58,1.0
jajaja,>,<,58,58,1.0
>,<,solo,57,12341,0.004618750506441942
<,voy,a,54,72,0.75
>,<,e,53,12341,0.004294627663884612
>,<,ufff,53,12341,0.004294627663884612
>,<,al,51,12341,0.004132566242605947
<,va,>,50,89,0.5617977528089888
>,<,vavavava,50,12341,0.004051535531966615
no,se,>,49,206,0.23786407766990292
>,<,eiii,49,12341,0.003970504821327283
>,<,we,48,12341,0.0038894741106879505
>,<,tengo,48,12341,0.0038894741106879505
eso,>,<,48,48,1.0
mañana,>,<,48,48,1.0
>,<,mi,48,12341,0.0038894741106879505
>,<,nmms,47,12341,0.0038084434000486183
>,<,ni,47,12341,0.0038084434000486183
<,vavavava,>,46,50,0.92
vavavava,>,<,46,46,1.0
>,<,hasta,46,12341,0.003727412689409286
>,<,ntp,46,12341,0.003727412689409286
>,<,esta,46,12341,0.003727412689409286
>,<,ps,46,12341,0.003727412689409286
>,<,tons,46,12341,0.003727412689409286
>,<,ahi,45,12341,0.0036463819787699537
eiii,>,<,45,45,1.0
<,eiii,>,45,49,0.9183673469387755
<,gracias,>,44,88,0.5
<,ok,>,43,174,0.2471264367816092
>,<,estoy,43,12341,0.003484320557491289
bueno,>,<,43,43,1.0
preocupes,>,<,42,42,1.0
te,preocupes,>,42,59,0.711864406779661
>,<,también,42,12341,0.003403289846851957
<,a,ver,42,264,0.1590909090909091
>,<,quieres,41,12341,0.0033222591362126247
>,<,mañana,41,12341,0.0033222591362126247
>,<,ando,41,12341,0.0033222591362126247
>,<,con,41,12341,0.0033222591362126247
juego,>,<,41,41,1.0
<,yo,creo,40,164,0.24390243902439024
>,<,chale,40,12341,0.0032412284255732924
yo,creo,que,40,54,0.7407407407407407
>,<,creo,40,12341,0.0032412284255732924
<,pero,si,39,345,0.11304347826086956
>,<,deja,38,12341,0.003079167004294628
<,y,no,38,991,0.03834510595358224
<,creo,que,38,40,0.95
>,<,mejor,38,12341,0.003079167004294628
>,<,cuando,37,12341,0.002998136293655295
<,quieres,jugar,37,41,0.9024390243902439
<,no,me,37,416,0.0889423076923077
ufff,>,<,36,36,1.0
>,<,:,36,12341,0.002917105583015963
<,y,me,36,991,0.03632694248234107
mira,>,<,36,36,1.0
:,000,>,36,38,0.9473684210526315
000,>,<,36,36,1.0
>,<,pinche,35,12341,0.0028360748723766306
>,<,entonces,35,12341,0.0028360748723766306
nada,>,<,34,34,1.0
a,ver,si,34,115,0.2956521739130435
nmms,>,<,34,34,1.0
<,si,me,34,547,0.062157221206581355
>,<,claro,34,12341,0.0027550441617372984
<,ntp,>,34,46,0.7391304347826086
y,ya,>,33,133,0.24812030075187969
>,<,listo,33,12341,0.002674013451097966
.,>,<,33,33,1.0
2,>,<,33,33,1.0
alv,>,<,33,33,1.0
jugar,?,>,32,33,0.9696969696969697
<,si,bro,32,547,0.05850091407678245
creo,>,<,32,32,1.0
<,y,que,32,991,0.03229061553985873
<,pero,no,31,345,0.08985507246376812
ver,>,<,31,31,1.0
>,<,un,31,12341,0.0025119520298193016
<,no,>,31,416,0.07451923076923077
>,<,wenas,31,12341,0.0025119520298193016
claro,>,<,30,30,1.0
<,no,te,30,416,0.07211538461538461
>,<,asi,30,12341,0.0024309213191799693
pedo,>,<,30,30,1.0
>,<,ptm,30,12341,0.0024309213191799693
<,por,eso,30,83,0.3614457831325301
<,we,>,30,48,0.625
xddd,>,<,29,29,1.0
wenas,>,<,29,29,1.0
>,<,aunque,29,12341,0.002349890608540637
>,<,tu,29,12341,0.002349890608540637
no,se,si,29,206,0.1407766990291262
>,<,eso,29,12341,0.002349890608540637
<,y,pues,29,991,0.029263370332996974
<,claro,>,29,34,0.8529411764705882
<,y,en,29,991,0.029263370332996974
<,ya,voy,28,583,0.048027444253859346
asi,>,<,28,28,1.0
todo,>,<,28,28,1.0
<,y,el,28,991,0.028254288597376387
prender,>,<,28,28,1.0
avisas,>,<,28,28,1.0
va,a,ser,27,117,0.23076923076923078
me,avisas,>,27,47,0.574468085106383
<,ya,le,27,583,0.04631217838765009
>,<,tambien,27,12341,0.0021878291872619725
<,:,000,27,36,0.75
>,<,los,27,12341,0.0021878291872619725
miedo,>,<,27,27,1.0
no,?,>,27,28,0.9642857142857143
>,<,aun,26,12341,0.00210679847662264
unu,>,<,26,26,1.0
madre,>,<,26,26,1.0
rato,>,<,26,26,1.0
a,lo,mejor,26,49,0.5306122448979592
ª,>,<,26,26,1.0
