Term 1,Term 2,Frequency,Context Frequency,Conditional Probability
>,<,1565,1565,1.0
?,>,103,115,0.8956521739130435
<,si,99,1566,0.06321839080459771
si,>,92,162,0.5679012345679012
<,no,77,1566,0.0491698595146871
<,ya,64,1566,0.04086845466155811
<,pero,57,1566,0.03639846743295019
<,jajajaj,46,1566,0.02937420178799489
jajajaj,>,43,51,0.8431372549019608
no,>,40,152,0.2631578947368421
<,es,39,1566,0.02490421455938697
<,y,38,1566,0.024265644955300127
siii,>,33,36,0.9166666666666666
<,siii,31,1566,0.01979565772669221
<,me,31,1566,0.01979565772669221
<,a,29,1566,0.018518518518518517
<,q,26,1566,0.016602809706257982
<,de,23,1566,0.014687100893997445
pero,no,19,71,0.2676056338028169
jajaja,>,19,23,0.8260869565217391
<,xd,18,1566,0.011494252873563218
<,yo,18,1566,0.011494252873563218
xd,>,18,19,0.9473684210526315
<,que,18,1566,0.011494252873563218
sii,>,17,18,0.9444444444444444
<,pq,17,1566,0.010855683269476373
jajaj,>,16,16,1.0
<,jajaja,16,1566,0.010217113665389528
no,se,16,152,0.10526315789473684
<,gracias,15,1566,0.009578544061302681
<,sii,15,1566,0.009578544061302681
es,q,14,67,0.208955223880597
gracias,>,14,21,0.6666666666666666
jajajaja,>,13,14,0.9285714285714286
x2,>,13,13,1.0
<,x2,13,1566,0.008301404853128991
tt,>,13,13,1.0
<,jajajaja,13,1566,0.008301404853128991
<,o,13,1566,0.008301404853128991
de,q,13,108,0.12037037037037036
<,animo,13,1566,0.008301404853128991
<,sip,12,1566,0.007662835249042145
en,la,12,54,0.2222222222222222
ya,>,12,96,0.125
<,grasias,12,1566,0.007662835249042145
sip,>,12,12,1.0
animo,>,11,14,0.7857142857142857
<,el,11,1566,0.0070242656449553
<,te,11,1566,0.0070242656449553
a,>,10,81,0.12345679012345678
creo,q,10,15,0.6666666666666666
<,ola,10,1566,0.006385696040868455
q,>,10,164,0.06097560975609756
ola,>,10,11,0.9090909090909091
<,siiii,9,1566,0.005747126436781609
<,asi,9,1566,0.005747126436781609
<,eso,9,1566,0.005747126436781609
<,esta,9,1566,0.005747126436781609
grasias,>,9,13,0.6923076923076923
<,la,9,1566,0.005747126436781609
mañana,>,9,18,0.5
bueno,>,9,14,0.6428571428571429
<,poke,8,1566,0.005108556832694764
<,claro,8,1566,0.005108556832694764
<,va,8,1566,0.005108556832694764
nada,>,8,13,0.6153846153846154
va,>,8,18,0.4444444444444444
<,aaaa,8,1566,0.005108556832694764
chika,>,8,10,0.8
no,me,8,152,0.05263157894736842
la,vida,7,74,0.0945945945945946
de,la,7,108,0.06481481481481481
q,no,7,164,0.042682926829268296
poke,>,7,8,0.875
<,como,7,1566,0.004469987228607918
<,lo,7,1566,0.004469987228607918
q,tal,7,164,0.042682926829268296
de,hecho,7,108,0.06481481481481481
<,bueno,7,1566,0.004469987228607918
nd,>,7,8,0.875
ya,me,7,96,0.07291666666666667
siiii,>,7,9,0.7777777777777778
<,ojala,7,1566,0.004469987228607918
<,chi,7,1566,0.004469987228607918
chi,>,7,7,1.0
eso,>,7,25,0.28
<,se,7,1566,0.004469987228607918
<,jajajajaj,7,1566,0.004469987228607918
ya,no,7,96,0.07291666666666667
y,tu,7,57,0.12280701754385964
bien,>,7,18,0.3888888888888889
<,oye,7,1566,0.004469987228607918
<,vale,7,1566,0.004469987228607918
jajajajaj,>,7,7,1.0
claro,>,6,10,0.6
aaaa,>,6,8,0.75
