Term 1,Term 2,Term 3,Frequency,Context Frequency,Conditional Probability
?,>,<,103,103,1.0
>,<,si,99,1565,0.06325878594249201
si,>,<,92,92,1.0
>,<,no,77,1565,0.049201277955271565
<,si,>,72,99,0.7272727272727273
>,<,ya,64,1565,0.04089456869009585
>,<,pero,57,1565,0.03642172523961661
>,<,jajajaj,46,1565,0.02939297124600639
jajajaj,>,<,43,43,1.0
no,>,<,40,40,1.0
>,<,es,39,1565,0.024920127795527155
>,<,y,38,1565,0.02428115015974441
<,jajajaj,>,38,46,0.8260869565217391
siii,>,<,33,33,1.0
>,<,siii,31,1565,0.019808306709265176
>,<,me,31,1565,0.019808306709265176
<,no,>,29,77,0.37662337662337664
>,<,a,29,1565,0.01853035143769968
<,siii,>,28,31,0.9032258064516129
>,<,q,26,1565,0.016613418530351438
>,<,de,23,1565,0.014696485623003195
jajaja,>,<,19,19,1.0
>,<,xd,18,1565,0.011501597444089457
>,<,yo,18,1565,0.011501597444089457
xd,>,<,18,18,1.0
>,<,que,18,1565,0.011501597444089457
>,<,pq,17,1565,0.010862619808306708
<,xd,>,17,18,0.9444444444444444
sii,>,<,17,17,1.0
jajaj,>,<,16,16,1.0
>,<,jajaja,16,1565,0.010223642172523962
>,<,sii,15,1565,0.009584664536741214
<,sii,>,15,15,1.0
>,<,gracias,15,1565,0.009584664536741214
<,pero,no,14,57,0.24561403508771928
gracias,>,<,14,14,1.0
<,x2,>,13,13,1.0
>,<,x2,13,1565,0.008306709265175719
jajajaja,>,<,13,13,1.0
x2,>,<,13,13,1.0
tt,>,<,13,13,1.0
>,<,o,13,1565,0.008306709265175719
>,<,jajajaja,13,1565,0.008306709265175719
>,<,animo,13,1565,0.008306709265175719
sip,>,<,12,12,1.0
<,sip,>,12,12,1.0
>,<,sip,12,1565,0.0076677316293929714
ya,>,<,12,12,1.0
<,jajajaja,>,12,13,0.9230769230769231
>,<,grasias,12,1565,0.0076677316293929714
<,jajaja,>,12,16,0.75
<,es,q,11,39,0.28205128205128205
animo,>,<,11,11,1.0
>,<,te,11,1565,0.007028753993610224
>,<,el,11,1565,0.007028753993610224
<,a,>,10,29,0.3448275862068966
a,>,<,10,10,1.0
q,>,<,10,10,1.0
ola,>,<,10,10,1.0
>,<,ola,10,1565,0.006389776357827476
<,animo,>,10,13,0.7692307692307693
>,<,eso,9,1565,0.005750798722044728
grasias,>,<,9,9,1.0
<,grasias,>,9,12,0.75
<,gracias,>,9,15,0.6
<,ola,>,9,10,0.9
<,ya,>,9,64,0.140625
bueno,>,<,9,9,1.0
>,<,la,9,1565,0.005750798722044728
>,<,asi,9,1565,0.005750798722044728
>,<,siiii,9,1565,0.005750798722044728
>,<,esta,9,1565,0.005750798722044728
mañana,>,<,9,9,1.0
chika,>,<,8,8,1.0
>,<,poke,8,1565,0.005111821086261981
>,<,aaaa,8,1565,0.005111821086261981
>,<,va,8,1565,0.005111821086261981
nada,>,<,8,8,1.0
>,<,claro,8,1565,0.005111821086261981
va,>,<,8,8,1.0
chi,>,<,7,7,1.0
bien,>,<,7,7,1.0
<,siiii,>,7,9,0.7777777777777778
poke,>,<,7,7,1.0
<,poke,>,7,8,0.875
>,<,se,7,1565,0.0044728434504792336
<,chi,>,7,7,1.0
>,<,oye,7,1565,0.0044728434504792336
>,<,chi,7,1565,0.0044728434504792336
<,no,se,7,77,0.09090909090909091
>,<,como,7,1565,0.0044728434504792336
>,<,lo,7,1565,0.0044728434504792336
siiii,>,<,7,7,1.0
