Term 1,Term 2,Frequency,Context Frequency,Conditional Probability
>,<,444,444,1.0
<,a,69,445,0.1550561797752809
?,>,66,91,0.7252747252747253
<,sip,37,445,0.08314606741573034
<,oye,35,445,0.07865168539325842
xd,>,35,42,0.8333333333333334
lo,que,29,115,0.25217391304347825
es,que,28,67,0.417910447761194
:3,>,26,34,0.7647058823529411
lo,de,24,115,0.20869565217391303
<,si,23,445,0.051685393258426963
creo,que,22,24,0.9166666666666666
de,nada,22,150,0.14666666666666667
de,la,20,150,0.13333333333333333
jajaja,>,19,76,0.25
<,jajaja,19,445,0.04269662921348315
oye,",",19,65,0.2923076923076923
jaja,>,17,62,0.27419354838709675
si,quieres,16,146,0.1095890410958904
que,si,16,198,0.08080808080808081
",",pero,16,177,0.0903954802259887
de,los,15,150,0.1
si,",",15,146,0.10273972602739725
sip,",",15,65,0.23076923076923078
nada,>,14,31,0.45161290322580644
",",si,14,177,0.07909604519774012
<,no,14,445,0.03146067415730337
gracias,>,13,29,0.4482758620689655
jajaj,>,13,25,0.52
que,no,13,198,0.06565656565656566
oye,oye,12,65,0.18461538461538463
sip,>,12,65,0.18461538461538463
<,pero,12,445,0.02696629213483146
está,bien,11,19,0.5789473684210527
que,ya,11,198,0.05555555555555555
voy,>,11,23,0.4782608695652174
pues,si,11,35,0.3142857142857143
y,ya,11,85,0.12941176470588237
<,y,11,445,0.024719101123595506
<,hola,11,445,0.024719101123595506
a,bueno,10,146,0.0684931506849315
sip,de,10,65,0.15384615384615385
de,lo,10,150,0.06666666666666667
no,se,10,100,0.1
a,jajaja,10,146,0.0684931506849315
de,las,10,150,0.06666666666666667
a,ver,10,146,0.0684931506849315
<,holaa,10,445,0.02247191011235955
voy,a,9,23,0.391304347826087
a,vava,9,146,0.06164383561643835
me,pasas,9,33,0.2727272727272727
no,sé,9,100,0.09
gracias,:3,9,29,0.3103448275862069
si,lo,8,146,0.0547945205479452
<,o,8,445,0.017977528089887642
",",sip,8,177,0.04519774011299435
",",es,8,177,0.04519774011299435
por,si,7,25,0.28
en,el,7,47,0.14893617021276595
<,jajajaja,7,445,0.015730337078651686
<,ya,7,445,0.015730337078651686
que,lo,7,198,0.03535353535353535
pero,no,7,57,0.12280701754385964
si,se,7,146,0.04794520547945205
<,de,7,445,0.015730337078651686
",",no,7,177,0.03954802259887006
yo,creo,7,25,0.28
en,la,7,47,0.14893617021276595
",",porque,7,177,0.03954802259887006
nada,:3,7,31,0.22580645161290322
",",gracias,7,177,0.03954802259887006
lo,del,7,115,0.06086956521739131
a,no,7,146,0.04794520547945205
a,sip,7,146,0.04794520547945205
",",oye,7,177,0.03954802259887006
<,gracias,7,445,0.015730337078651686
que,te,7,198,0.03535353535353535
con,lo,6,32,0.1875
que,es,6,198,0.030303030303030304
si,jaja,6,146,0.0410958904109589
oye,irving,6,65,0.09230769230769231
ya,quedó,6,87,0.06896551724137931
no,es,6,100,0.06
va,>,6,21,0.2857142857142857
para,que,6,29,0.20689655172413793
si,es,6,146,0.0410958904109589
no,jaja,6,100,0.06
bien,",",6,25,0.24
a,ir,6,146,0.0410958904109589
oye,me,6,65,0.09230769230769231
holaa,",",5,10,0.5
<,jajaj,5,445,0.011235955056179775
si,no,5,146,0.03424657534246575
es,el,5,67,0.07462686567164178
es,lo,5,67,0.07462686567164178
eso,>,5,26,0.19230769230769232
vas,a,5,9,0.5555555555555556
algo,de,5,15,0.3333333333333333
pensé,que,5,6,0.8333333333333334
vamos,a,5,6,0.8333333333333334
lo,quieres,5,115,0.043478260869565216
<,es,5,445,0.011235955056179775
entonces,si,5,24,0.20833333333333334
se,lo,5,39,0.1282051282051282
va,a,5,21,0.23809523809523808
a,si,5,146,0.03424657534246575
bueno,xd,5,31,0.16129032258064516
que,le,5,198,0.025252525252525252
ver,si,5,14,0.35714285714285715
vava,",",5,17,0.29411764705882354
bien,>,5,25,0.2
<,creo,5,445,0.011235955056179775
si,nos,5,146,0.03424657534246575
jajajaj,>,5,15,0.3333333333333333
:3,oye,5,34,0.14705882352941177
ahorita,te,5,19,0.2631578947368421
de,datos,5,150,0.03333333333333333
?,es,5,91,0.054945054945054944
ya,no,5,87,0.05747126436781609
",",de,5,177,0.02824858757062147
y,pues,5,85,0.058823529411764705
sip,jaja,5,65,0.07692307692307693
si,me,4,146,0.0273972602739726
<,va,4,445,0.008988764044943821
ya,me,4,87,0.04597701149425287
<,vava,4,445,0.008988764044943821
",",entonces,4,177,0.022598870056497175
<,jaja,4,445,0.008988764044943821
",",por,4,177,0.022598870056497175
el,de,4,74,0.05405405405405406
el,tema,4,74,0.05405405405405406
quieres,>,4,24,0.16666666666666666
no,lo,4,100,0.04
",",pues,4,177,0.022598870056497175
que,ahorita,4,198,0.020202020202020204
<,pues,4,445,0.008988764044943821
jajaja,",",4,76,0.05263157894736842
los,autores,4,44,0.09090909090909091
verdad,?,4,5,0.8
pasas,el,4,9,0.4444444444444444
oye,ya,4,65,0.06153846153846154
irving,",",4,8,0.5
hola,:3,4,11,0.36363636363636365
me,voy,4,33,0.12121212121212122
<,entonces,4,445,0.008988764044943821
no,?,4,100,0.04
la,foto,4,84,0.047619047619047616
<,chi,4,445,0.008988764044943821
<,jajajaj,4,445,0.008988764044943821
le,puse,4,27,0.14814814814814814
jaja,",",4,62,0.06451612903225806
que,se,4,198,0.020202020202020204
",",te,4,177,0.022598870056497175
jajaja,sip,4,76,0.05263157894736842
ya,te,4,87,0.04597701149425287
con,el,4,32,0.125
bueno,",",4,31,0.12903225806451613
el,que,4,74,0.05405405405405406
se,si,4,39,0.10256410256410256
☺,️,4,4,1.0
sé,si,4,9,0.4444444444444444
pues,ya,4,35,0.11428571428571428
no,ma,4,100,0.04
para,el,4,29,0.13793103448275862
jajaja,pero,4,76,0.05263157894736842
la,de,4,84,0.047619047619047616
según,yo,4,11,0.36363636363636365
️,>,4,4,1.0
si,le,4,146,0.0273972602739726
que,nos,4,198,0.020202020202020204
<,porque,4,445,0.008988764044943821
hola,jaja,3,11,0.2727272727272727
solo,lo,3,22,0.13636363636363635
<,holaaa,3,445,0.006741573033707865
ya,lo,3,87,0.034482758620689655
es,en,3,67,0.04477611940298507
si,te,3,146,0.02054794520547945
vavav,>,3,5,0.6
te,la,3,38,0.07894736842105263
<,que,3,445,0.006741573033707865
pero,si,3,57,0.05263157894736842
dijo,que,3,8,0.375
ser,lo,3,4,0.75
",",bueno,3,177,0.01694915254237288
a,ernesto,3,146,0.02054794520547945
no,me,3,100,0.03
no,pues,3,100,0.03
hay,que,3,8,0.375
<,vavav,3,445,0.006741573033707865
<,cómo,3,445,0.006741573033707865
como,que,3,21,0.14285714285714285
bien,xd,3,25,0.12
vava,:3,3,17,0.17647058823529413
",",le,3,177,0.01694915254237288
lo,más,3,115,0.02608695652173913
yo,",",3,25,0.12
que,dice,3,198,0.015151515151515152
jajaja,si,3,76,0.039473684210526314
la,conclusión,3,84,0.03571428571428571
por,cierto,3,25,0.12
y,la,3,85,0.03529411764705882
jaja,bueno,3,62,0.04838709677419355
jaja,sip,3,62,0.04838709677419355
