Term 1,Term 2,Term 3,Frequency,Context Frequency,Conditional Probability
>,<,a,69,444,0.1554054054054054
?,>,<,66,66,1.0
>,<,sip,37,444,0.08333333333333333
xd,>,<,35,35,1.0
>,<,oye,35,444,0.07882882882882883
:3,>,<,26,26,1.0
>,<,si,23,444,0.0518018018018018
>,<,jajaja,19,444,0.04279279279279279
jajaja,>,<,19,19,1.0
jaja,>,<,17,17,1.0
nada,>,<,14,14,1.0
>,<,no,14,444,0.03153153153153153
gracias,>,<,13,13,1.0
de,nada,>,13,22,0.5909090909090909
jajaj,>,<,13,13,1.0
sip,>,<,12,12,1.0
<,oye,",",12,35,0.34285714285714286
>,<,pero,12,444,0.02702702702702703
>,<,y,11,444,0.024774774774774775
<,oye,oye,11,35,0.3142857142857143
voy,>,<,11,11,1.0
<,a,jajaja,10,69,0.14492753623188406
>,<,holaa,10,444,0.02252252252252252
sip,de,nada,10,10,1.0
>,<,hola,10,444,0.02252252252252252
<,sip,de,10,37,0.2702702702702703
<,sip,",",10,37,0.2702702702702703
<,a,vava,9,69,0.13043478260869565
gracias,:3,>,9,9,1.0
<,sip,>,9,37,0.24324324324324326
>,<,o,8,444,0.018018018018018018
de,lo,que,8,10,0.8
>,<,ya,7,444,0.015765765765765764
>,<,gracias,7,444,0.015765765765765764
>,<,jajajaja,7,444,0.015765765765765764
<,a,no,7,69,0.10144927536231885
de,nada,:3,7,22,0.3181818181818182
>,<,de,7,444,0.015765765765765764
<,a,sip,7,69,0.10144927536231885
",",es,que,7,8,0.875
nada,:3,>,7,7,1.0
va,>,<,6,6,1.0
<,si,",",6,23,0.2608695652173913
es,que,no,6,28,0.21428571428571427
lo,de,los,6,24,0.25
yo,creo,que,6,7,0.8571428571428571
<,holaa,",",5,10,0.5
>,<,es,5,444,0.01126126126126126
<,a,si,5,69,0.07246376811594203
>,<,creo,5,444,0.01126126126126126
oye,oye,",",5,12,0.4166666666666667
<,creo,que,5,5,1.0
bien,>,<,5,5,1.0
>,<,jajaj,5,444,0.01126126126126126
está,bien,",",5,11,0.45454545454545453
?,es,que,5,5,1.0
a,ver,si,5,10,0.5
oye,me,pasas,5,6,0.8333333333333334
sip,",",de,5,15,0.3333333333333333
",",de,nada,5,5,1.0
jajajaj,>,<,5,5,1.0
",",gracias,>,5,7,0.7142857142857143
eso,>,<,5,5,1.0
con,lo,que,4,6,0.6666666666666666
>,<,jaja,4,444,0.009009009009009009
bueno,xd,>,4,5,0.8
>,<,vava,4,444,0.009009009009009009
<,hola,:3,4,11,0.36363636363636365
>,<,va,4,444,0.009009009009009009
creo,que,ya,4,22,0.18181818181818182
pues,si,quieres,4,11,0.36363636363636365
>,<,porque,4,444,0.009009009009009009
pensé,que,si,4,5,0.8
verdad,?,>,4,4,1.0
<,no,jaja,4,14,0.2857142857142857
<,a,bueno,4,69,0.057971014492753624
>,<,jajajaj,4,444,0.009009009009009009
creo,que,si,4,22,0.18181818181818182
hola,:3,oye,4,4,1.0
si,lo,quieres,4,8,0.5
por,si,lo,4,7,0.5714285714285714
me,pasas,el,4,9,0.4444444444444444
>,<,chi,4,444,0.009009009009009009
lo,de,la,4,24,0.16666666666666666
>,<,entonces,4,444,0.009009009009009009
no,se,si,4,10,0.4
quieres,>,<,4,4,1.0
☺,️,>,4,4,1.0
>,<,pues,4,444,0.009009009009009009
<,gracias,:3,4,7,0.5714285714285714
no,sé,si,4,9,0.4444444444444444
<,de,nada,4,7,0.5714285714285714
️,>,<,4,4,1.0
<,oye,me,4,35,0.11428571428571428
jaja,es,que,3,3,1.0
>,<,holaaa,3,444,0.006756756756756757
",",por,si,3,4,0.75
vava,:3,>,3,3,1.0
<,a,ya,3,69,0.043478260869565216
>,<,hay,3,444,0.006756756756756757
vavav,>,<,3,3,1.0
a,sip,jaja,3,7,0.42857142857142855
<,vavav,>,3,3,1.0
>,<,vavav,3,444,0.006756756756756757
si,quieres,>,3,16,0.1875
pasas,la,foto,3,3,1.0
bueno,>,<,3,3,1.0
<,jajaja,va,3,19,0.15789473684210525
ya,me,voy,3,4,0.75
pero,no,sé,3,7,0.42857142857142855
oye,irving,",",3,6,0.5
