Term 1,Term 2,Term 3,Frequency of Trigram,"Frequency of Context (Term 1, Term 2)",Conditional Probability
<,si,>,85,114,0.7456140350877193
<,no,>,39,87,0.4482758620689655
<,jajajaj,>,39,46,0.8478260869565217
<,siii,>,28,31,0.9032258064516129
<,xd,>,18,19,0.9473684210526315
<,sii,>,15,15,1.0
<,jajajaja,>,13,14,0.9285714285714286
<,x2,>,13,13,1.0
<,jajaja,>,13,16,0.8125
<,gracias,>,13,19,0.6842105263157895
<,pero,no,13,57,0.22807017543859648
<,animo,>,12,13,0.9230769230769231
<,sip,>,12,12,1.0
<,a,>,11,30,0.36666666666666664
<,ya,>,10,66,0.15151515151515152
<,ola,>,9,10,0.9
<,es,q,9,39,0.23076923076923078
<,es,>,9,39,0.23076923076923078
<,grasias,>,9,12,0.75
<,va,>,8,9,0.8888888888888888
<,de,q,7,24,0.2916666666666667
<,chi,>,7,7,1.0
<,no,se,7,87,0.08045977011494253
<,jajajajaj,>,7,7,1.0
<,siiii,>,7,9,0.7777777777777778
<,poke,>,7,8,0.875
<,yo,>,6,18,0.3333333333333333
<,jajajja,>,6,6,1.0
<,aaaa,>,6,8,0.75
<,o,>,5,14,0.35714285714285715
<,ya,no,5,66,0.07575757575757576
<,asi,q,5,9,0.5555555555555556
<,jajaj,>,5,5,1.0
<,que,>,5,19,0.2631578947368421
<,o,sea,5,14,0.35714285714285715
tal,vez,>,5,5,1.0
<,q,>,5,29,0.1724137931034483
<,bueno,>,5,7,0.7142857142857143
<,eso,>,5,9,0.5555555555555556
<,de,hecho,5,24,0.20833333333333334
<,y,tu,5,38,0.13157894736842105
<,no,me,5,87,0.05747126436781609
<,claro,>,5,8,0.625
q,tal,?,4,7,0.5714285714285714
y,tu,?,4,7,0.5714285714285714
<,eiii,>,4,4,1.0
<,creo,q,4,4,1.0
la,vida,de,4,7,0.5714285714285714
tal,?,>,4,4,1.0
<,es,que,4,39,0.10256410256410256
<,tal,vez,4,4,1.0
<,ya,lo,4,66,0.06060606060606061
<,hay,q,4,5,0.8
<,nd,>,4,4,1.0
ya,estoy,en,4,5,0.8
