Term 1,Term 2,Term 3,Frequency of Trigram,"Frequency of Context (Term 1, Term 2)",Conditional Probability
de,nada,>,13,22,0.5909090909090909
<,oye,",",12,36,0.3333333333333333
<,oye,oye,11,36,0.3055555555555556
<,sip,>,11,37,0.2972972972972973
<,a,jajaja,10,69,0.14492753623188406
<,sip,",",10,37,0.2702702702702703
sip,de,nada,10,10,1.0
<,sip,de,10,37,0.2702702702702703
gracias,:3,>,9,9,1.0
<,es,que,9,11,0.8181818181818182
<,a,vava,9,69,0.13043478260869565
de,lo,que,8,10,0.8
<,gracias,>,8,14,0.5714285714285714
<,si,",",8,28,0.2857142857142857
",",es,que,7,8,0.875
<,a,no,7,69,0.10144927536231885
de,nada,:3,7,22,0.3181818181818182
nada,:3,>,7,7,1.0
es,que,no,7,29,0.2413793103448276
<,a,sip,7,69,0.10144927536231885
yo,creo,que,6,7,0.8571428571428571
lo,de,los,6,24,0.25
sip,",",de,5,15,0.3333333333333333
",",de,nada,5,5,1.0
<,a,si,5,69,0.07246376811594203
oye,oye,",",5,12,0.4166666666666667
oye,me,pasas,5,6,0.8333333333333334
a,ver,si,5,10,0.5
<,holaa,",",5,10,0.5
no,se,si,5,11,0.45454545454545453
<,no,jaja,4,15,0.26666666666666666
está,bien,",",4,11,0.36363636363636365
<,oye,me,4,36,0.1111111111111111
verdad,?,>,4,4,1.0
<,de,nada,4,9,0.4444444444444444
☺,️,>,4,4,1.0
<,gracias,:3,4,14,0.2857142857142857
me,pasas,el,4,9,0.4444444444444444
<,a,bueno,4,69,0.057971014492753624
bueno,xd,>,4,5,0.8
está,bien,>,4,11,0.36363636363636365
",",gracias,>,4,6,0.6666666666666666
<,creo,que,4,5,0.8
si,lo,quieres,4,8,0.5
por,si,lo,4,7,0.5714285714285714
hola,:3,oye,4,4,1.0
lo,de,la,4,24,0.16666666666666666
creo,que,ya,4,21,0.19047619047619047
<,hola,:3,4,11,0.36363636363636365
no,?,>,4,4,1.0
no,sé,si,4,9,0.4444444444444444
con,lo,que,4,6,0.6666666666666666
lo,de,las,3,24,0.125
pues,es,que,3,3,1.0
pero,no,sé,3,7,0.42857142857142855
lo,que,te,3,29,0.10344827586206896
xd,?,>,3,3,1.0
<,hola,",",3,11,0.2727272727272727
a,sip,jaja,3,7,0.42857142857142855
pues,si,quieres,3,8,0.375
<,jajaja,sip,3,20,0.15
<,si,quieres,3,28,0.10714285714285714
eso,jaja,>,3,3,1.0
cómputo,?,>,3,3,1.0
<,va,>,3,4,0.75
nada,xd,>,3,3,1.0
oye,irving,",",3,6,0.5
<,vavav,>,3,3,1.0
vava,:3,>,3,3,1.0
jaja,es,que,3,3,1.0
a,bueno,jaja,3,10,0.3
<,a,ya,3,69,0.043478260869565216
<,si,jaja,3,28,0.10714285714285714
<,jajaja,va,3,20,0.15
a,vava,",",3,9,0.3333333333333333
ya,me,voy,3,4,0.75
sip,está,bien,3,3,1.0
",",por,si,3,4,0.75
pensé,que,si,3,4,0.75
<,hola,jaja,3,11,0.2727272727272727
pasas,la,foto,3,3,1.0
:3,oye,irving,3,5,0.6
me,pasas,la,3,9,0.3333333333333333
bien,xd,>,3,3,1.0
creo,que,si,3,21,0.14285714285714285
oye,",",ya,2,19,0.10526315789473684
ejercicio,?,>,2,2,1.0
vamos,a,ir,2,5,0.4
nada,jaja,>,2,2,1.0
que,ya,quedó,2,11,0.18181818181818182
de,nada,jaja,2,22,0.09090909090909091
",",según,yo,2,2,1.0
datos,y,la,2,2,1.0
a,lo,de,2,2,1.0
lo,que,hicimos,2,29,0.06896551724137931
oye,",",no,2,19,0.10526315789473684
<,pero,lo,2,11,0.18181818181818182
o,no,>,2,4,0.5
de,datos,y,2,5,0.4
lo,quieres,ver,2,5,0.4
le,puse,eso,2,4,0.5
que,sí,>,2,3,0.6666666666666666
<,jajaja,>,2,20,0.1
y,la,metieras,2,3,0.6666666666666666
a,ir,mañana,2,6,0.3333333333333333
bien,jajaja,>,2,2,1.0
vas,a,ir,2,5,0.4
<,a,ver,2,69,0.028985507246376812
oye,",",si,2,19,0.10526315789473684
a,bueno,",",2,10,0.2
lo,mismo,pero,2,3,0.6666666666666666
pues,si,jaja,2,8,0.25
la,foto,de,2,4,0.5
si,este,bien,2,2,1.0
a,no,ma,2,7,0.2857142857142857
",",me,pasas,2,3,0.6666666666666666
pero,pues,si,2,3,0.6666666666666666
jajaja,va,>,2,3,0.6666666666666666
a,no,má,2,7,0.2857142857142857
oye,",",me,2,19,0.10526315789473684
si,pues,si,2,3,0.6666666666666666
jajaja,pensé,que,2,2,1.0
nada,",",solo,2,2,1.0
<,a,vavav,2,69,0.028985507246376812
holaa,",",oye,2,5,0.4
vava,",",gracias,2,5,0.4
a,vava,jaja,2,9,0.2222222222222222
que,si,lo,2,15,0.13333333333333333
la,metieras,en,2,2,1.0
a,vavav,",",2,2,1.0
está,bien,xd,2,11,0.18181818181818182
si,es,en,2,6,0.3333333333333333
:3,oye,te,2,5,0.4
es,lo,de,2,5,0.4
ya,se,fue,2,2,1.0
mañana,te,la,2,2,1.0
<,o,jajajaja,2,9,0.2222222222222222
si,quieres,>,2,16,0.125
<,ya,quedó,2,9,0.2222222222222222
la,conclusión,>,2,3,0.6666666666666666
pero,es,que,2,2,1.0
a,vava,sip,2,9,0.2222222222222222
ya,quedó,>,2,6,0.3333333333333333
están,?,>,2,2,1.0
<,la,comunicación,2,3,0.6666666666666666
la,comunicación,en,2,2,1.0
comunicación,en,grupo,2,3,0.6666666666666666
en,grupo,es,2,2,1.0
ves,?,>,2,2,1.0
según,lo,que,2,2,1.0
si,",",es,2,15,0.13333333333333333
mi,casa,jaja,2,3,0.6666666666666666
si,jaja,>,2,6,0.3333333333333333
es,que,le,2,29,0.06896551724137931
ando,en,mi,2,2,1.0
que,ahorita,ya,2,4,0.5
la,hago,yo,2,2,1.0
si,quieres,ya,2,16,0.125
poner,los,autores,2,3,0.6666666666666666
los,autores,>,2,4,0.5
entonces,no,se,2,2,1.0
oye,oye,una,2,12,0.16666666666666666
del,tda,",",2,2,1.0
que,si,esta,2,15,0.13333333333333333
si,esta,bien,2,2,1.0
como,que,tomar,2,3,0.6666666666666666
",",crees,que,2,2,1.0
",",lo,de,2,3,0.6666666666666666
de,los,síntomas,2,15,0.13333333333333333
que,ya,no,2,11,0.18181818181818182
a,sip,",",2,7,0.2857142857142857
en,mi,casa,2,3,0.6666666666666666
no,ando,en,2,2,1.0
<,este,>,2,2,1.0
<,a,oye,2,69,0.028985507246376812
chi,gracias,:3,2,2,1.0
te,vas,a,2,3,0.6666666666666666
<,pero,no,2,11,0.18181818181818182
la,maestra,que,2,3,0.6666666666666666
si,es,que,2,6,0.3333333333333333
no,sé,",",2,9,0.2222222222222222
que,voy,a,2,2,1.0
<,mmmm,pues,2,3,0.6666666666666666
que,es,el,2,6,0.3333333333333333
<,de,lo,2,9,0.2222222222222222
de,la,serie,2,20,0.1
porque,lo,de,2,3,0.6666666666666666
pero,no,se,2,7,0.2857142857142857
y,dijo,que,2,2,1.0
de,la,carrera,2,20,0.1
