Mensaje
| Hoy me toco tremendo maraton |
| De hecho jajajaj |
| Nooo |
| Niyo |
| Y trngo un bn de tarea |
| Vale |
| Y luego la otra semana ya tengo examenes |
| Cual¿ |
| 100000000 peso |
| Jajajaj no cierto |
| Ola |
| Ando en el metro apenas |
| Es🍐 |
| Y si tengo libre el martes tmb |
| El lunes no jajaj |
| Pero algo es algo |
| Lastima q sera dia libre para estudiar :) |
| Pq tengo 10000 examenes |
| Esta semana |
| Aun no he hecho ningun examen |
| Esta semana empiezan |
| Me enferme |
| Maldita fokin gripa |
| Ayuda |
| Desde la mañana |
| No puedo |
| Tengo un monton de tarea |
| Si estuve bn |
| Pero ora ya me siento mal |
| Olaola |
| Ya estaba mimida a esa hora |
| Perdon por no ayudarte |
| Cuales compraste? |
| Ya estoy mejor y mimi bn |
| Tu q tal? |
| Y me muero yo de la impresion |
| Igual me gustaron mas esas jajaj |
| XD |
"| Siii, esta bn feo estar malito |"
| De q cereal? |
| No |
| Mucho azucar |
| Para mi |
| No |
| Me empalaga |
| Jajajaj |
| Con cajeta |
| Animo |
| Nomas cajeta |
| Dame |
| Xfavor |
| Es mi kibble |
| Jajajajaja |
| Pero como soy R |
| Debes dsrme tmb un bluebook |
| Si |
| Jajajajaja |
| No |
| Grasias |
| Poke |
| XD |
| No kiero |
| Poke ahora soy rokera |
| Hoy no |
| El miercoles empiezan |
| Ayuda dios |
| Ola |
| Jugamos |
| Roblox? |
| Es q |
| Estoy aburrida |
| Pero ya me dio remordimiemto |
| Pq |
| Siento q no he estudiado |
| Si |
| Si vdd |
| Tienes cuenta? |
| Create |
| Si |
| Me agregas |
| Si |
| Nose |
| Pasa id |
| Jajajaj |
| Avr |
| Yap |
| Te kreo |
| Mañana busquemos un juego donde si se vea nuestro mono |
| Jajajaja |
| Quedamos |
| No te odiooo |
| Me diverti |
| Gracias por jugar |
| Siii |
| Es adictivo |
| Jajajja |
| Pobre nana |
| Asi cualkiera |
| Si |
| Me dormi |
| Pero ya desperte |
| Hajaja |
| Q soñaste |
| Bn pero no soñe nd |
| Ya tus 22 |
| Akiii |
| Me amaban |
| Q tonto |
| Te perdono |
| Jajajajaj |
| Mira mira |
| No |
| Es el sprayy |
| A siii |
| Si vi |
| No me carga |
| Jajajajja |
| Sii |
| Quien essss |
| Sip |
| Akiora? |
| Necesito saber kien essss |
| A las 9 |
| Sioke |
| Pq queria ver si lo topaba |
| Pero no |
| Desepsionada |
| Quisieras |
| Na |
| Pq veo mucho la rosa jajaj |
| Silensio |
| X2 |
| Jajajaj |
| Shhh 22 |
| Claro |
| Pero apoco se llama olaf? o.o |
| Y tu 23 jajjajj |
| Es🍐 |
| En inclusive mas bn |
| Jajajaj |
| Ya neni |
| Si |
| Ya vengo tmb |
| Animo |
| Hasta mañana |
| Jajaja |
| Kisierasss |
| Hasta eso los backrooms si tenian graficos medio aceptables |
| Toda asustada |
| Eiii |
| X2 |
| TT |
"| Aaaa, ojala me hubiera visto, bno nimo2 |"
| XD |
| Es ella |
| Yo kiero q ya termine la temporada de examenes |
| Yo te vi moriiiir |
| Jajajajaj |
| Si |
| Me enseñas cuales encuentras |
"| Jajajaj oraaaa, pq dices eso |"
| Destinada a tener dieces pq soy un 10/10 xdd |
"| Uy no, la otra semana |"
| Si |
| La vdd estan bn zzz |
| Si |
| Sip |
| Ayuda |
| Mañana tengo un examen bn dificil |
| Es lo q espero |
| Jajajaj |
| Ya ni me acordaba |
"| Si le se, pero me da miedo no acordarme en el momento |"
| Aun? |
| Pero hablo de los nuestross |
| Dios kiera |
| Jajajaj |
| XD |
| Siii |
| Si |
| Non |
| Ya a mimir |
| El+tibio |
| Sii |
| Si |
| Cuales hay |
| Noooombre |
| Deseame suerte aun asi |
| Omggg |
| La q pusieron en combi |
| Espero q se alcance a escuchar jajaja |
| Gracias x tu buenos deseos |
| Animo |
| Eiii |
| Pense q ni se escucharia nd |
| Gracias |
"| Si, ya |"
| Estuvo dificil la vda |
| u.u |
| De vdd? |
| El mas kpoper |
| Sii |
| Y luego negro |
| Siiii TT |
| Si |
| Ojala |
| Saka |
| Sopita |
| Esta bueno |
| Ojala vivir en una casa aai |
| Asi |
| Q tal estuvo? |
| Q marca era? |
| Jajaj |
| Aaa sii |
| Era eseee |
| Se ve bno |
| Mañana jugamo va |
| Hoy tengo q estudiar para otro examen q tengo mañana |
"| Si la he probado, muy ekis no? |"
| Jajajajajj |
| Kiasco |
| Menseñas |
| Jajajaj graciaaaas |
| Eiii |
| Cualll |
| No he probado ni la buldak |
| Sip |
| Ya me los acabe |
| Este si |
| Jajajjaj |
"| Deja estudio otro rato, es a las 10:30 |"
| A |
| Si |
| Ya kedo el examen |
"| A sii, es q nunca habia visto q dijeran samyang |"
| Yo |
| Al ver mi examen de ayer y de hoy |
| Si |
| Ojala |
| Eso crees tu |
| Hoy jugamo? |
| Jajajaja |
| Va |
| Panas |
| Si |
| Ya |
| Jajajja |
| No |
| Tengo sueño |
| Jajajajj |
| Patroclo |
| Jajajaja |
| Si |
| Q posser |
| Como no te enteraste desde antes |
| Ya se me hizo |
| Claro |
| Y como q gllit |
| Mmm no |
| Lol q noob |
| Sacaaaaa |
| Roblox |
| Si |
| Q cuteee |
| Estot haciendo padtel |
| Pastel |
| Jajajajaj |
| Go |
| Jajaj |
| X2 |
| UlisesJuega17 -.- |
| Esta feo |
| O sea ese juego |
| Jajajaj |
| Si |
"| De eso, nomas pones a tu mono a bailar kpop |"
"| Y ya, no puedes hacer nd mas |"
| Eiii |
| No le saben |
| La vida de un otaku jajajaj |
| Sip |
| Ei |
| Kedo sp bn vda |
| Siii |
| Siii |
| Jajajjaj |
| Los creditos jajaja |
| Tal vez |
| Me kede dormida |
| Jajajaj |
| Jajajqjqj |
| Siii |
| Buenos dias |
| Que |
| Jajajaj |
| Siii |
| Siii |
| No x favor |
| Queee |
| Hay q comprobarlo |
| Yo |
| Si |
| Ekis |
| X2 |
| Sip |
| Sabe |
| Sii |
| Donde los venden o k |
| Ya no kiero hacer tarea |
| Que |
| Que dijistes |
| Aaaa |
| Hay q jugar |
| Lastima q debemos tener 15 dias de antiguedad en el roblo |
| Yo |
| Mi tareaaa |
| Esmuchaaaa |
| Siii |
| :0 |
| Eso es vdd |
| Grasias |
| Eso hago |
| Si |
| Voy a comer un yogurt orita |
| Kisiese |
| Pero no se si sea prudente |
| Voy |
| No me gustan los lacteos de fresa |
| Bueno |
| Orita |
| No |
| Si |
| Tenia mucho sueño u.u |
| Que fue |
| Mimi bn y no soñe nd |
| Avrlo |
| Si |
| No me convence |
| Esta muy siok la historia |
| Pero juguemoslo avr q tal |
| Jajajaj |
| Sii |
| Aun me falta un monton |
| No m lo recuerdes |
| Yo si vi |
| Sip |
| Siiii |
| No es real |
| Yokreo |
| A siii |
"| No se, tal vez |"
