Term 1,Term 2,Frequency,Context Frequency,Conditional Probability
<,Y,868,12342,0.0703289580294928
xd,>,630,635,0.9921259842519685
<,Ya,514,12342,0.04164641063036785
<,Si,426,12342,0.034516285853184246
<,No,360,12342,0.02916869227029655
<,Pero,282,12342,0.022848808945065628
<,A,216,12342,0.01750121536217793
<,Me,208,12342,0.016853022200615783
bro,>,187,246,0.7601626016260162
<,Que,182,12342,0.01474639442553881
<,Es,178,12342,0.014422297844757738
que,me,178,2087,0.08528988979396263
<,Pq,174,12342,0.014098201263976665
voy,a,165,245,0.673469387755102
en,el,162,928,0.17456896551724138
<,Simon,155,12342,0.01255874250526657
<,Yo,149,12342,0.01207259763409496
<,El,149,12342,0.01207259763409496
de,la,148,1757,0.0842344906089926
XD,>,138,141,0.9787234042553191
no,se,133,983,0.1353001017293998
<,Ok,126,12342,0.010209042294603793
<,y,123,12342,0.009965969859017987
que,no,120,2087,0.057498802108289414
que,si,114,2087,0.05462386200287494
<,si,112,12342,0.009074704261870037
va,a,108,210,0.5142857142857142
no,me,106,983,0.10783316378433368
a,la,105,1574,0.06670902160101652
lo,que,104,725,0.14344827586206896
en,la,104,928,0.11206896551724138
a,mi,100,1574,0.06353240152477764
de,que,97,1757,0.05520774046670461
<,Ontas,97,12342,0.007859342083941014
es,que,96,569,0.1687170474516696
no,>,94,983,0.09562563580874874
Ontas,>,93,97,0.9587628865979382
ok,>,92,156,0.5897435897435898
<,Bueno,90,12342,0.007292173067574137
<,O,89,12342,0.007211148922378869
si,>,89,924,0.09632034632034632
<,Lo,89,12342,0.007211148922378869
<,Ahorita,87,12342,0.007049100631988332
<,Se,86,12342,0.006968076486793064
Es,que,86,179,0.48044692737430167
men,>,86,110,0.7818181818181819
si,me,85,924,0.09199134199134198
<,En,84,12342,0.006806028196402528
creo,que,83,140,0.5928571428571429
bien,>,83,234,0.3547008547008547
mi,mamá,83,556,0.14928057553956833
<,De,83,12342,0.0067250040512072595
<,Gracias,82,12342,0.0066439799060119915
Simon,>,82,155,0.5290322580645161
a,ver,79,1574,0.05019059720457433
Si,>,76,427,0.17798594847775176
<,Como,75,12342,0.006076810889645114
<,Vavava,75,12342,0.006076810889645114
<,Te,74,12342,0.005995786744449846
que,se,73,2087,0.03497843794920939
<,La,72,12342,0.00583373845405931
No,se,72,362,0.19889502762430938
<,Por,71,12342,0.005752714308864042
<,Va,71,12342,0.005752714308864042
se,me,71,738,0.09620596205962059
con,el,69,414,0.16666666666666666
y,ya,69,1130,0.061061946902654866
we,>,67,94,0.7127659574468085
lo,de,66,725,0.0910344827586207
<,Hoy,66,12342,0.0053475935828877
que,ya,65,2087,0.03114518447532343
<,Oye,65,12342,0.005266569437692432
<,Voy,64,12342,0.005185545292497164
de,los,63,1757,0.035856573705179286
<,Pues,63,12342,0.005104521147301896
de,mi,63,1757,0.035856573705179286
<,pero,63,12342,0.005104521147301896
<,Mira,62,12342,0.005023497002106627
ya,me,62,649,0.09553158705701079
Y,ya,62,876,0.07077625570776255
<,Porque,62,12342,0.005023497002106627
a,las,61,1574,0.03875476493011436
no,te,60,983,0.061037639877924724
Ya,me,59,515,0.1145631067961165
te,preocupes,59,379,0.15567282321899736
<,Para,59,12342,0.0047804245665208234
gracias,>,58,90,0.6444444444444445
es,el,58,569,0.10193321616871705
se,>,57,738,0.07723577235772358
Vavava,>,57,75,0.76
se,ve,56,738,0.07588075880758807
mañana,>,55,138,0.39855072463768115
eso,>,55,188,0.2925531914893617
ntp,>,54,63,0.8571428571428571
que,te,54,2087,0.025874460948730235
Y,si,54,876,0.06164383561643835
jugar,>,53,161,0.32919254658385094
<,XD,53,12342,0.004294279695349214
<,ya,53,12342,0.004294279695349214
<,Solo,52,12342,0.004213255550153946
que,es,52,2087,0.024916147580258743
<,Ahora,51,12342,0.004132231404958678
y,me,51,1130,0.04513274336283186
Si,no,49,427,0.11475409836065574
<,Ufff,49,12342,0.003970183114568141
<,Le,49,12342,0.003970183114568141
Voy,a,48,64,0.75
Ok,ok,48,126,0.38095238095238093
<,no,48,12342,0.003889158969372873
<,ok,48,12342,0.003889158969372873
<,a,48,12342,0.003889158969372873
y,no,47,1130,0.0415929203539823
que,le,46,2087,0.022041207474844275
ya,>,45,649,0.06933744221879815
<,E,45,12342,0.0036460865337870686
juego,>,45,91,0.4945054945054945
ver,si,44,174,0.25287356321839083
un,poco,44,692,0.06358381502890173
<,Tengo,44,12342,0.0035650623885918
un,chingo,44,692,0.06358381502890173
jajaja,>,44,45,0.9777777777777777
ya,no,43,649,0.0662557781201849
Va,>,43,72,0.5972222222222222
<,es,43,12342,0.003484038243396532
preocupes,>,42,59,0.711864406779661
ok,ok,42,156,0.2692307692307692
la,de,42,1314,0.0319634703196347
<,Al,42,12342,0.003403014098201264
a,prender,42,1574,0.026683608640406607
Gracias,>,41,82,0.5
que,el,41,2087,0.01964542405366555
es,la,41,569,0.07205623901581722
<,que,41,12342,0.0033219899530059958
quieres,jugar,40,78,0.5128205128205128
<,También,40,12342,0.0032409658078107278
<,Ps,40,12342,0.0032409658078107278
Yo,creo,39,149,0.26174496644295303
<,Chale,39,12342,0.0031599416626154593
que,lo,39,2087,0.018687110685194058
<,Vavavava,39,12342,0.0031599416626154593
en,mi,39,928,0.04202586206896552
a,los,38,1574,0.0241423125794155
para,que,38,375,0.10133333333333333
de,las,38,1757,0.021627774615822423
con,la,38,414,0.09178743961352658
si,no,38,924,0.04112554112554113
<,Nmms,38,12342,0.0030789175174201914
2,>,37,138,0.26811594202898553
<,Hasta,37,12342,0.002997893372224923
me,avisas,37,1301,0.02843966179861645
<,Mañana,37,12342,0.002997893372224923
<,Ni,37,12342,0.002997893372224923
<,Mi,37,12342,0.002997893372224923
<,me,37,12342,0.002997893372224923
Vavavava,>,37,39,0.9487179487179487
<,Estoy,36,12342,0.002916869227029655
A,ver,36,230,0.1565217391304348
<,Esta,36,12342,0.002916869227029655
a,un,36,1574,0.022871664548919948
Y,no,36,876,0.0410958904109589
000,>,36,38,0.9473684210526315
<,Tons,36,12342,0.002916869227029655
<,We,35,12342,0.0028358450818343865
asi,>,35,108,0.32407407407407407
en,un,35,928,0.03771551724137931
nada,>,35,73,0.4794520547945205
<,Ntp,35,12342,0.0028358450818343865
si,se,35,924,0.03787878787878788
no,lo,35,983,0.03560528992878942
iba,a,35,45,0.7777777777777778
el,juego,35,1410,0.024822695035460994
<,Con,34,12342,0.0027548209366391185
van,a,34,46,0.7391304347826086
<,Ando,34,12342,0.0027548209366391185
vas,a,33,43,0.7674418604651163
<,Mejor,33,12342,0.00267379679144385
No,me,33,362,0.09116022099447514
<,Ahi,33,12342,0.00267379679144385
con,mi,33,414,0.07971014492753623
<,Creo,33,12342,0.00267379679144385
un,buen,33,692,0.0476878612716763
<,pq,33,12342,0.00267379679144385
creo,>,32,140,0.22857142857142856
a,ser,32,1574,0.020330368487928845
<,Deja,32,12342,0.002592772646248582
<,Quieres,32,12342,0.002592772646248582
va,>,32,210,0.1523809523809524
Y,me,32,876,0.0365296803652968
Pero,si,32,282,0.11347517730496454
terraria,>,32,52,0.6153846153846154
Creo,que,32,34,0.9411764705882353
me,lo,32,1301,0.024596464258262875
<,Cuando,32,12342,0.002592772646248582
rato,>,31,72,0.4305555555555556
ya,se,31,649,0.04776579352850539
que,tal,31,2087,0.014853857211308098
Ok,>,31,126,0.24603174603174602
por,eso,31,301,0.10299003322259136
<,el,31,12342,0.0025117485010533137
No,>,31,362,0.0856353591160221
y,que,31,1130,0.02743362831858407
<,vavava,31,12342,0.0025117485010533137
y,se,31,1130,0.02743362831858407
bueno,>,31,96,0.3229166666666667
<,Eiii,31,12342,0.0025117485010533137
ver,>,31,174,0.1781609195402299
ya,lo,30,649,0.046224961479198766
pedo,>,30,58,0.5172413793103449
se,si,30,738,0.04065040650406504
<,Un,30,12342,0.0024307243558580457
mi,hermano,30,556,0.0539568345323741
algo,>,30,108,0.2777777777777778
y,el,30,1130,0.02654867256637168
si,lo,30,924,0.032467532467532464
Eiii,>,30,31,0.967741935483871
prender,>,30,67,0.44776119402985076
lo,mejor,29,725,0.04
No,te,29,362,0.08011049723756906
y,lo,29,1130,0.02566371681415929
Quieres,jugar,29,32,0.90625
lo,del,29,725,0.04
me,voy,29,1301,0.022290545734050732
<,Pinche,29,12342,0.0023497002106627773
a,lo,29,1574,0.018424396442185513
a,que,29,1574,0.018424396442185513
a,ir,29,1574,0.018424396442185513
<,simon,29,12342,0.0023497002106627773
Si,me,29,427,0.06791569086651054
al,rato,28,285,0.09824561403508772
<,Claro,28,12342,0.0022686760654675093
todo,>,28,91,0.3076923076923077
digo,que,28,66,0.42424242424242425
me,va,28,1301,0.021521906225980016
avisas,>,28,48,0.5833333333333334
vavava,>,28,33,0.8484848484848485
por,el,28,301,0.09302325581395349
<,en,28,12342,0.0022686760654675093
es,un,28,569,0.0492091388400703
miedo,>,28,48,0.5833333333333334
prendo,>,28,64,0.4375
pq,no,28,193,0.14507772020725387
Ya,voy,27,515,0.05242718446601942
esta,>,27,217,0.12442396313364056
<,Listo,27,12342,0.0021876519202722413
a,jugar,27,1574,0.017153748411689963
<,Entonces,27,12342,0.0021876519202722413
Y,pues,27,876,0.030821917808219176
que,en,27,2087,0.012937230474365118
<,como,27,12342,0.0021876519202722413
Si,bro,27,427,0.06323185011709602
alv,>,27,39,0.6923076923076923
de,un,27,1757,0.015367103016505406
<,000,27,12342,0.0021876519202722413
y,yo,26,1130,0.023008849557522124
pero,no,26,239,0.1087866108786611
es,de,26,569,0.04569420035149385
mi,casa,26,556,0.046762589928057555
mamá,>,26,92,0.2826086956521739
simon,>,26,46,0.5652173913043478
Por,eso,26,72,0.3611111111111111
<,ª,26,12342,0.002106627775076973
ª,>,26,30,0.8666666666666667
la,historia,26,1314,0.0197869101978691
<,Aunque,25,12342,0.002025603629881705
se,que,25,738,0.03387533875338753
para,el,25,375,0.06666666666666667
Y,que,25,876,0.028538812785388126
Ya,>,25,515,0.04854368932038835
y,si,25,1130,0.022123893805309734
Y,el,25,876,0.028538812785388126
Ntp,>,25,35,0.7142857142857143
y,le,25,1130,0.022123893805309734
el,de,25,1410,0.01773049645390071
madre,>,25,59,0.423728813559322
no,le,25,983,0.0254323499491353
<,>,25,12342,0.002025603629881705
<,bueno,25,12342,0.002025603629881705
mi,estimado,25,556,0.044964028776978415
Pero,no,24,282,0.0851063829787234
su,madre,24,141,0.1702127659574468
que,la,24,2087,0.011499760421657882
si,quieres,24,924,0.025974025974025976
Ya,le,24,515,0.04660194174757282
aun,no,24,54,0.4444444444444444
JAJAJAJA,>,24,24,1.0
<,Tu,23,12342,0.0018635553394911683
Claro,>,23,28,0.8214285714285714
discord,>,23,39,0.5897435897435898
Y,en,23,876,0.026255707762557076
me,la,23,1301,0.017678708685626442
<,Uff,23,12342,0.0018635553394911683
ganas,de,23,32,0.71875
en,una,23,928,0.02478448275862069
Ya,estoy,22,515,0.04271844660194175
un,rato,22,692,0.031791907514450865
Que,tal,22,182,0.12087912087912088
<,Wenas,22,12342,0.0017825311942959
<,Eso,22,12342,0.0017825311942959
la,escuela,22,1314,0.0167427701674277
me,siento,22,1301,0.016910069177555727
las,7,22,311,0.0707395498392283
tiempo,>,22,41,0.5365853658536586
<,Tambien,22,12342,0.0017825311942959
me,dijo,22,1301,0.016910069177555727
uwu,>,22,23,0.9565217391304348
De,hecho,22,85,0.25882352941176473
en,su,22,928,0.023706896551724137
para,la,22,375,0.058666666666666666
me,gusto,22,1301,0.016910069177555727
<,Ptm,22,12342,0.0017825311942959
<,o,22,12342,0.0017825311942959
mejor,>,22,115,0.19130434782608696
We,>,22,35,0.6285714285714286
unu,>,22,22,1.0
no,hay,21,983,0.021363173957273652
<,Cómo,21,12342,0.001701507049100632
a,su,21,1574,0.013341804320203304
mucho,>,21,70,0.3
<,Aun,21,12342,0.001701507049100632
vamos,a,21,31,0.6774193548387096
internet,>,21,32,0.65625
es,lo,21,569,0.03690685413005272
que,hora,21,2087,0.010062290368950648
<,Bro,21,12342,0.001701507049100632
Mira,>,21,62,0.3387096774193548
<,Asi,21,12342,0.001701507049100632
hacer,>,21,130,0.16153846153846155
Ya,se,21,515,0.040776699029126215
acabo,de,21,30,0.7
XDDD,>,21,21,1.0
stream,>,21,42,0.5
verga,>,21,43,0.4883720930232558
Y,como,20,876,0.0228310502283105
<,Luego,20,12342,0.0016204829039053639
Se,me,20,88,0.22727272727272727
y,la,20,1130,0.017699115044247787
clase,>,20,45,0.4444444444444444
7,>,20,54,0.37037037037037035
plox,>,20,21,0.9523809523809523
esto,>,20,48,0.4166666666666667
wey,>,20,37,0.5405405405405406
casa,>,20,46,0.43478260869565216
es,una,20,569,0.0351493848857645
la,que,20,1314,0.015220700152207
<,Nop,20,12342,0.0016204829039053639
hasta,el,20,110,0.18181818181818182
verdad,>,20,37,0.5405405405405406
a,>,20,1574,0.012706480304955527
3,>,20,86,0.23255813953488372
Xd,>,20,20,1.0
le,dije,20,325,0.06153846153846154
chingo,>,20,49,0.40816326530612246
jajajaja,>,20,21,0.9523809523809523
<,ahora,20,12342,0.0016204829039053639
figue,>,20,24,0.8333333333333334
dijo,que,20,55,0.36363636363636365
<,Pos,20,12342,0.0016204829039053639
estimado,>,20,25,0.8
<,Namas,20,12342,0.0016204829039053639
A,lo,19,230,0.08260869565217391
a,estar,19,1574,0.01207115628970775
en,lo,19,928,0.020474137931034482
Chale,>,19,39,0.48717948717948717
Ufff,>,19,49,0.3877551020408163
Wenas,>,19,22,0.8636363636363636
<,Los,19,12342,0.0015394587587100957
<,Jajajaja,19,12342,0.0015394587587100957
Jajajaja,>,19,20,0.95
mas,>,19,197,0.09644670050761421
Lo,que,19,89,0.21348314606741572
E,men,19,45,0.4222222222222222
no,tengo,19,983,0.019328585961342827
<,Apenas,19,12342,0.0015394587587100957
Y,la,19,876,0.021689497716894976
por,la,19,301,0.06312292358803986
No,creo,19,362,0.052486187845303865
<,xd,19,12342,0.0015394587587100957
la,verdad,19,1314,0.01445966514459665
si,ya,19,924,0.020562770562770564
<,Xd,19,12342,0.0015394587587100957
me,quedo,19,1301,0.014604150653343582
a,comer,18,1574,0.011435832274459974
E,we,18,45,0.4
o,no,18,197,0.09137055837563451
ando,en,18,98,0.1836734693877551
cosas,>,18,41,0.43902439024390244
jugar,algo,18,161,0.11180124223602485
hoy,>,18,103,0.17475728155339806
Para,que,18,59,0.3050847457627119
Si,ya,18,427,0.04215456674473068
<,eiii,18,12342,0.0014584346135148275
te,digo,18,379,0.047493403693931395
<,Todo,18,12342,0.0014584346135148275
ocupado,>,18,21,0.8571428571428571
si,le,18,924,0.01948051948051948
ya,tengo,18,649,0.02773497688751926
de,nuevo,18,1757,0.010244735344336939
me,dieron,18,1301,0.013835511145272867
<,lo,18,12342,0.0014584346135148275
se,arma,18,738,0.024390243902439025
Bro,>,18,21,0.8571428571428571
tengo,que,18,171,0.10526315789473684
opino,>,18,19,0.9473684210526315
dije,que,18,53,0.33962264150943394
que,>,18,2087,0.008624820316243412
yo,>,18,163,0.11042944785276074
Nop,>,18,20,0.9
<,Chaaale,18,12342,0.0014584346135148275
<,Vas,17,12342,0.0013774104683195593
Oye,>,17,65,0.26153846153846155
y,en,17,1130,0.01504424778761062
<,Igual,17,12342,0.0013774104683195593
el,que,17,1410,0.012056737588652482
mi,abuela,17,556,0.030575539568345324
<,Soy,17,12342,0.0013774104683195593
con,un,17,414,0.04106280193236715
<,va,17,12342,0.0013774104683195593
nmms,>,17,37,0.4594594594594595
por,las,17,301,0.05647840531561462
si,prendo,17,924,0.0183982683982684
ufff,>,17,28,0.6071428571428571
si,es,17,924,0.0183982683982684
Gracias,bro,17,82,0.2073170731707317
<,Ahuevo,17,12342,0.0013774104683195593
ver,que,17,174,0.09770114942528736
quedo,>,17,50,0.34
<,Uffas,17,12342,0.0013774104683195593
<,Tas,17,12342,0.0013774104683195593
A,pos,17,230,0.07391304347826087
Si,ntp,16,427,0.03747072599531616
a,hacer,16,1574,0.010165184243964422
Y,a,16,876,0.0182648401826484
que,pedo,16,2087,0.007666506947771922
<,YA,16,12342,0.001296386323124291
en,discord,16,928,0.017241379310344827
Simón,>,16,19,0.8421052631578947
de,una,16,1757,0.00910643141718839
Ya,no,16,515,0.031067961165048542
Yo,digo,16,149,0.10738255033557047
<,Sale,16,12342,0.001296386323124291
que,voy,16,2087,0.007666506947771922
1,>,16,62,0.25806451612903225
y,te,16,1130,0.01415929203539823
pendejo,>,16,42,0.38095238095238093
este,>,16,88,0.18181818181818182
que,tengo,16,2087,0.007666506947771922
a,una,16,1574,0.010165184243964422
directo,>,16,39,0.41025641025641024
luego,>,16,68,0.23529411764705882
<,XDDD,16,12342,0.001296386323124291
como,me,16,346,0.046242774566473986
Y,también,16,876,0.0182648401826484
los,de,16,394,0.04060913705583756
la,primera,16,1314,0.0121765601217656
un,amigo,16,692,0.023121387283236993
si,te,16,924,0.017316017316017316
Tengo,miedo,16,44,0.36363636363636365
como,que,16,346,0.046242774566473986
historia,>,16,40,0.4
Chaaale,>,16,18,0.8888888888888888
caigo,>,16,19,0.8421052631578947
<,Sis,16,12342,0.001296386323124291
Sis,>,16,16,1.0
yo,creo,15,163,0.09202453987730061
comer,>,15,29,0.5172413793103449
estoy,en,15,129,0.11627906976744186
Pero,ya,15,282,0.05319148936170213
<,Jajaja,15,12342,0.0012153621779290229
que,ando,15,2087,0.007187350263536177
por,si,15,301,0.04983388704318937
es,>,15,569,0.026362038664323375
se,la,15,738,0.02032520325203252
