Term 1,Term 2,Frequency,Context Frequency,Conditional Probability
pero,no,20,71,0.28169014084507044
no,se,16,152,0.10526315789473684
es,q,14,67,0.208955223880597
de,q,13,108,0.12037037037037036
en,la,12,54,0.2222222222222222
creo,q,10,15,0.6666666666666666
no,me,9,152,0.05921052631578947
q,no,9,164,0.054878048780487805
si,me,9,162,0.05555555555555555
si,no,9,162,0.05555555555555555
si,si,8,162,0.04938271604938271
ya,no,8,96,0.08333333333333333
de,hecho,7,108,0.06481481481481481
ya,me,7,96,0.07291666666666667
q,tal,7,164,0.042682926829268296
de,la,7,108,0.06481481481481481
no,es,7,152,0.046052631578947366
y,tu,7,56,0.125
si,ya,7,162,0.043209876543209874
la,vida,7,74,0.0945945945945946
en,el,6,54,0.1111111111111111
lo,q,6,41,0.14634146341463414
q,se,6,164,0.036585365853658534
asi,q,6,20,0.3
o,sea,6,22,0.2727272727272727
bien,y,6,18,0.3333333333333333
q,te,6,164,0.036585365853658534
en,mi,6,54,0.1111111111111111
es,que,6,67,0.08955223880597014
ya,estoy,5,96,0.052083333333333336
no,te,5,152,0.03289473684210526
no,soñe,5,152,0.03289473684210526
si,lo,5,162,0.030864197530864196
de,los,5,108,0.046296296296296294
a,si,5,81,0.06172839506172839
no,tengo,5,152,0.03289473684210526
tal,vez,5,13,0.38461538461538464
a,mi,5,81,0.06172839506172839
si,pero,5,162,0.030864197530864196
eso,si,5,25,0.2
estoy,en,5,10,0.5
q,es,5,164,0.03048780487804878
si,es,5,162,0.030864197530864196
lo,de,5,41,0.12195121951219512
jajajaj,no,4,51,0.0784313725490196
aun,no,4,7,0.5714285714285714
esta,bn,4,25,0.16
pero,ya,4,71,0.056338028169014086
siento,q,4,6,0.6666666666666666
soñe,nd,4,5,0.8
es,el,4,67,0.05970149253731343
a,las,4,81,0.04938271604938271
se,llama,4,56,0.07142857142857142
la,vdd,4,74,0.05405405405405406
pero,me,4,71,0.056338028169014086
me,da,4,81,0.04938271604938271
se,ve,4,56,0.07142857142857142
si,q,4,162,0.024691358024691357
no,le,4,152,0.02631578947368421
vida,de,4,7,0.5714285714285714
de,un,4,108,0.037037037037037035
hay,q,4,14,0.2857142857142857
voy,a,4,7,0.5714285714285714
a,ti,4,81,0.04938271604938271
jajajaj,es,4,51,0.0784313725490196
ya,lo,4,96,0.041666666666666664
es,de,4,67,0.05970149253731343
mi,casa,4,27,0.14814814814814814
te,dije,4,40,0.1
va,a,4,18,0.2222222222222222
solo,q,4,9,0.4444444444444444
que,si,4,38,0.10526315789473684
mi,escuela,4,27,0.14814814814814814
q,si,4,164,0.024390243902439025
me,gusta,4,81,0.04938271604938271
y,luego,3,56,0.05357142857142857
la,otra,3,74,0.04054054054054054
no,he,3,152,0.019736842105263157
tengo,un,3,24,0.125
un,monton,3,29,0.10344827586206896
bn,pero,3,25,0.12
mimi,bn,3,5,0.6
y,me,3,56,0.05357142857142857
la,impresion,3,74,0.04054054054054054
xd,siii,3,19,0.15789473684210525
siii,esta,3,36,0.08333333333333333
es,mi,3,67,0.04477611940298507
no,kiero,3,152,0.019736842105263157
me,dio,3,81,0.037037037037037035
si,se,3,162,0.018518518518518517
siii,si,3,36,0.08333333333333333
ver,si,3,6,0.5
jajajaj,ya,3,51,0.058823529411764705
q,ya,3,164,0.018292682926829267
uy,no,3,3,1.0
no,la,3,152,0.019736842105263157
