Term 1,Term 2,Frequency,Context Frequency,Conditional Probability
<,a,69,445,0.1550561797752809
<,sip,37,445,0.08314606741573034
xd,>,37,42,0.8809523809523809
<,oye,35,445,0.07865168539325842
lo,que,29,115,0.25217391304347825
es,que,28,67,0.417910447761194
:3,>,26,34,0.7647058823529411
lo,de,24,115,0.20869565217391303
<,si,23,445,0.051685393258426963
de,nada,22,150,0.14666666666666667
creo,que,22,24,0.9166666666666666
de,la,20,150,0.13333333333333333
jajaja,>,19,76,0.25
<,jajaja,19,445,0.04269662921348315
jaja,>,19,62,0.3064516129032258
que,si,16,198,0.08080808080808081
si,quieres,16,146,0.1095890410958904
de,los,15,150,0.1
sip,de,15,65,0.23076923076923078
nada,>,14,31,0.45161290322580644
<,no,14,445,0.03146067415730337
jajaj,>,13,25,0.52
gracias,>,13,29,0.4482758620689655
que,no,13,198,0.06565656565656566
sip,>,12,65,0.18461538461538463
<,pero,12,445,0.02696629213483146
oye,oye,12,65,0.18461538461538463
<,hola,11,445,0.024719101123595506
voy,>,11,23,0.4782608695652174
está,bien,11,19,0.5789473684210527
que,ya,11,198,0.05555555555555555
<,y,11,445,0.024719101123595506
y,ya,11,85,0.12941176470588237
pues,si,11,35,0.3142857142857143
de,las,10,150,0.06666666666666667
<,holaa,10,445,0.02247191011235955
a,ver,10,146,0.0684931506849315
de,lo,10,150,0.06666666666666667
a,jajaja,10,146,0.0684931506849315
a,bueno,10,146,0.0684931506849315
no,se,10,100,0.1
me,pasas,9,33,0.2727272727272727
no,sé,9,100,0.09
gracias,:3,9,29,0.3103448275862069
voy,a,9,23,0.391304347826087
a,vava,9,146,0.06164383561643835
<,o,8,445,0.017977528089887642
si,es,8,146,0.0547945205479452
si,lo,8,146,0.0547945205479452
oye,me,8,65,0.12307692307692308
<,gracias,7,445,0.015730337078651686
<,de,7,445,0.015730337078651686
a,sip,7,146,0.04794520547945205
en,la,7,47,0.14893617021276595
en,el,7,47,0.14893617021276595
a,no,7,146,0.04794520547945205
nada,:3,7,31,0.22580645161290322
que,te,7,198,0.03535353535353535
va,>,7,21,0.3333333333333333
<,jajajaja,7,445,0.015730337078651686
<,ya,7,445,0.015730337078651686
por,si,7,25,0.28
yo,creo,7,25,0.28
lo,del,7,115,0.06086956521739131
si,se,7,146,0.04794520547945205
que,lo,7,198,0.03535353535353535
pero,no,7,57,0.12280701754385964
oye,irving,6,65,0.09230769230769231
si,no,6,146,0.0410958904109589
que,es,6,198,0.030303030303030304
no,es,6,100,0.06
algo,de,6,15,0.4
ya,quedó,6,87,0.06896551724137931
a,ir,6,146,0.0410958904109589
jajajaj,>,6,15,0.4
oye,ya,6,65,0.09230769230769231
no,jaja,6,100,0.06
si,jaja,6,146,0.0410958904109589
con,lo,6,32,0.1875
para,que,6,29,0.20689655172413793
:3,oye,5,34,0.14705882352941177
sé,si,5,9,0.5555555555555556
ahorita,te,5,19,0.2631578947368421
sip,jaja,5,65,0.07692307692307693
ya,no,5,87,0.05747126436781609
